<page title>|actual weight|attributes|brightness lumens|brightness nitscdm2|color|color support|compatibility notes|compliant standards|connector|connector type|contents|contrast ratio|diagonal size|digital video standard|display position adjustments|display size|display technology|display type|dot pitch|energy star qualified|energy star version|form factor|horizontal frequency khz|image aspect ratio|image brightness|image size max|image size min|internal resolution max|lamp type|native resolution|os notes|physical dimensions|portsconnectors|power notes|product type|projector type|refurbished type|resolution modes|response timerate|returns policy|screen distance min|speakers included|system requirements|target use|vertical frequency hz|viewing angle hv degrees|warranty  labor|warranty  parts|warranty details|weight
"Buy HP Smart Buy 22"" E221 Full HD LED-LCD Monitor, Black Monitors - LED-LCD C9V76A8#ABA today at PC Connection"||Height Adjustable||250 nit(s)|Black||"Bring your content to life with Full-HD resolution. Get vibrant text and graphics from the LED backlit panel, which also makes the monitor thin, light, and easy to position on a desk.
Find your most comfortable working position so you can power through your day. Customizable tilt, height adjustment, swivel, and pivot settings—the most adjustability available on an HP business display—help you find your sweet spot.
Reduce power consumption and help lower your costs with an intelligent, energy efficient design featuring ENERGY STAR, EPEAT Gold, and TCO certifications."|Energy Star|['Power', 'HDDB15', 'DisplayPort', 'DVI-D']|['DisplayPort', 'DVI-D', 'VGA', 'Power']|Monitor, VGA cable, DisplayPort cable, USB cable, power cable, documentation|1000:1||Digital Visual Interface (DVI)|['Pivot (rotation)', 'Swivel', 'Tilt', 'Height']|21.5 in|['LCD', 'LED-backlit']|Widescreen|0.248 mm|Yes|||||250 cd/m2|||1920 x 1080|||||"(1) HDDB15 VGA
(1) DVI-D
(1) DisplayPort
(1) Power in"|Consumption: 36W (typ.)|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||170/160|3 Years|3 Years||
"Buy Planar 22"" Full HD PXL2250MW LED-LCD Monitor, Black Monitors - LED-LCD 997-7019-00 today at PC Connection"|6.40 lb(s)|['Dual speakers', 'Speakers Included']||250 cd/m2|Black|16.7 million colors|100 x 100mm VESA mounting pattern.|['FCC Class B certified', 'RoHS', 'CE']|['HDMI', 'Power', 'HDDB15', 'DVI', '3.5mm audio']|['DVI', 'Power', 'VGA', 'HDMI', 'Audio']|Monitor, power cord, VGA cable, DVI cable, audio cable, documentation|1000:1||Digital Visual Interface (DVI)|Tilt|21.5 in|['LED-backlit', 'LCD']|Widescreen|0.2482 mm||||||250 cd/m2|||1920 x 1080||||"12.5""h x 20.1""w x 1.9""d"|"(1) HDMI
(1) DVI
(1) HDDB15 VGA
(1) 3.5mm audio
(1) Power in"|"Supply: 100-240VAC
Consumption: 21W (typ.); 0.5W (standby)"|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||170/160|3 Years|3 Years|FREE 2-Day Advance Replacement|
"Buy NDS (2) 21.3"" Dome S3c LED-LCD Display, Black Monitors - Medical 997-6803-00-2NN today at PC Connection"|14.10 lb(s)|||800 cd/m2|Black|||['VCCI', 'REACH', 'RoHS', 'WEEE', 'KCC']|['USB Type B', 'DisplayPort', 'DVI-D', 'Power']|['DVI-D', 'DisplayPort', 'Power', 'USB']|(2) monitors, documentation|1400:1||Digital Visual Interface (DVI)|['Tilt', 'Swivel', 'Pivot (rotation)', 'Height']|21.3 in|['LCD', 'LED-backlit']|Widescreen|0.2115 mm||||||800 cd/m2|||2048 x 1536||||"18.7""h x 14.3""w x 3.9""d"|"(1) DVI-D
(1) DisplayPort
(1) USB Type B
(1) Power in"|"Supply: 100-240VAC, 50/60Hz
Consumption: 96W (typ.); 108W (max)"|||||20 ms|Due to manufacturer restrictions, all sales on this item are final.||||||176/176|5 Years|5 Years||14.100 lb(s)
Buy Peerless LCD Adapter Plate for VESA 200mm x 100mm Mounting Stands & Mounts - AV LC-V200 today at PC Connection|||||Black||Compatible with flat panels with VESA 200mm x 100mm mounting pattern.||||Adapter plae, hardware, documentation||||||||||||||||||||||||Bracket|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||N/A|N/A||
"Buy LG 24"" MB35D-B Full HD LED-LCD Monitor, Black Monitors - LED-LCD 24MB35D-B today at PC Connection"||||||||['TCO Displays 6.0', 'TUV Ergo', 'Plug and Play', 'DDC/CI', 'TUV GS', 'ISO 9241-307', 'ISO 13406-2', 'CUL']|||||||Tilt|24 in|||0.275 mm|Yes|||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
Buy Tripp Lite VGA with RS232 over Cat5 Cat6 Extender, Transmitter Video Extenders & Splitters B130-101S today at PC Connection|||||Black||||||Transmitter, receiver, (2) power supplies, (2) mounting hardware kits, screwdriver, (2) adapter cables, documentation||||||||||||||||||||||"(3) HD15 (F)
(2) 3.5mm serial (F)
(2) RJ-45"|"Input: 100-240V, 50/60Hz
Output: +5V, 2.0A"|Extender|||||This product is subject to our return policy. Please see our complete return policy for details.|||"Computer with VGA video output connector (HDDB15 ) and DB-9 Serial Port
Monitor(s) with VGA input
Remote serial device, such as bar code, Scanner, Touch Screen, etc."||||1 Year|1 Year||
"Buy Acer 21.5"" V226HQL ABD Full HD LED-LCD Monitor, Black Monitors - LED-LCD UM.WV6AA.A01 today at PC Connection"||||250 cd/m2|Black||"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact."|TCO06|['HDDB15', 'Power', 'DVI']|['DVI', 'Power', 'VGA']|Monitor, VGA cable, DVI cable, documentation|100,000,000:1||Digital Visual Interface (DVI)|Tilt|21.5 in|['LED-backlit', 'LCD']|Widescreen|||||||250 cd/m2|||1920 x 1080|||||"(1) DVI
(1) HDDB15 VGA
(1) Power in"||||||8 ms|||||||178/178|3 Years|3 Years|limited|
Buy Acer P1383W WUXGA DLP 3D Projector, 3100 Lumens, Black Projectors MR.JH111.00B today at PC Connection|5.50 lb(s)|['Speaker Included', 'Keystone correction', 'Remote control', 'Single speaker']|3100 ANSI lumens||Black|1.07 billion colors|||['HDMI', 'USB Type B Mini', 'S-Video', 'Power', 'HDDB15']|['S-Video', 'HDMI', 'Power', 'USB', 'VGA']|Projector, power cord, VGA cable, remote with battery, carrying case, CD, documentation|17000:1|||||Digital Light Processing (DLP)|||||['Ceiling-mount front projection', 'Ceiling-mount rear projection']||16:10||25 ft|2.3 ft|1920 x 1200|P-VIP|1280 x 800||"3.7""h x 12.4""w x 8.8""d"|"(1) S-video
(1) HDDB15 VGA
(1) HDMI
(1) USB Mini B
(1) Power in"|Supply: 110-220VAC||Digital Light Processing (DLP)||Multiscan|||3.3 ft||||||1 Year|1 Year|90 days on lamp|5.5 lb(s)
Buy Elite VMax2 Series Projection Screen with Black Case, MaxWhite, Projector Screens VMAX110UWH2 today at PC Connection||||||||||||||||||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy Elite Portable Tripod Pull-Up Projection Screen, Matte White, Projector Screens T99UWS1 today at PC Connection|||||||||||Screen in black case, tripod stand, documentation|||||||||||||||||||||"127""h x 75.5""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy HP Smart Buy 21.5"" L2206tm LED-LCD Touchscreen Monitor, Black Monitors - LED-LCD B0L55A8#ABA today at PC Connection"||['Single speaker', 'Pivot']||220 nit(s)|Black||"Anti-glare
Built-in 1W speakers
90° rotation into portrait orientation"|['CCC', 'KCC', 'VCCI', 'TCO05', 'E-Standby', 'PSB', 'GOST', 'CEL', 'FCC', 'CB', 'C-Tick', 'TUV S', 'CECP', 'TUV GS', 'ISO 14001', 'NOM', 'Plug and Play', 'RoHS', 'EPA', 'ISO 13406-2', 'KC', 'BSMI', 'EPEAT Gold', 'WEEE', 'TCO Displays 5.2', 'CSA', 'IEC 60950-1 Second Edition']|['HDDB15', 'DisplayPort', 'USB', 'Power', 'DVI-D']|['Power', 'USB', 'DisplayPort', 'DVI-D', 'VGA']|Monitor, documentation|1000:1||Digital Visual Interface (DVI)|['Tilt', 'Pivot (rotation)', 'Height']|21.5 in|LCD|Widescreen|0.248 mm|Yes|||||220 cd/m2|||1920 x 1080|||||"(1) HDDB15 VGA
(1) DVI-D
(1) DisplayPort
(2) USB
(1) Power in"|Consumption: 39W (max)|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||170/160|3 Years|3 Years|limited|
Buy Elite VMax2 Series Motorized Projection Screen with Black Case, Projector Screens VMAX150UWV2 today at PC Connection|||||White||Wall mount brackets sold separately.||||Screen, IR and RF remotes, 12v trigger, IR sensor, documentation|||||||||||||||||||||"101.5""h x 133""w"||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy AOC 19"" S4LSB5 LED-LCD Monitor, Black Monitors - LED-LCD 19S4LSB5 today at PC Connection"||||||||['Plug and Play', 'WEEE', 'SASO', 'TUV Ergo', 'GOST', 'TCO Displays 6.0', 'DDC/CI', 'SEMKO', 'TUV GS', 'RoHS', 'BSMI', 'Lead-Free']|||||||Tilt|19 in|||0.294 mm|Yes|||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy Peerless SmartMountLT Pivoting Wall Mount for 22""-37"" Displays Stands & Mounts - AV SPL737 today at PC Connection"|||||Black||"Fits 22"" to 37"" displays, up to 55 pounds.
Extends display 7.13"" (181mm) from the wall.
Retracts to hold display just 2.48"" (63mm) from the wall.
±90° of pivot allows for perfect display positioning.
Quick and easy, Hook-and-Hang one-person installation.
Integrated cable management provides clean, professional installation finish.
Easy leveling ±5° after display installation.
Landscape or portrait mounting options increases display versatility.
Mounts to wood studs, concrete, cinder block or metal studs (metal stud accessory required).
VESA 75, 100, 200 x100, and 200 x 200mm compliant.
Installation hardware included.
UL Listed."|['CULus', 'RoHS']|||Mount, documentation||||||||||||||||||||||||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
"Buy DoubleSight 30"" DS-309W LCD Monitor Monitors - LCD DS-309W today at PC Connection"|||||Piano black|||||||||||30 in|||0.2505 mm||||||370 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy Elite Fixed SableFrame Home Projection Screen, CineWhite, 16:9, Projector Screens ER110WH1 today at PC Connection||||||||||||||||||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy StarTech.com VGA Video Extender over Cat 5 Remote Receiver with Video Extenders & Splitters STUTPEALR today at PC Connection|0.00 lb(s)||||Black||"Extenders (base units) are sold separately. Choice of using a four-port or eight-port extender.
Monitors can be up to 900ft away.
Send video and audio over Cat5 cabling to remote displays.
Supports a maximum resolution of 1280 x 1024 at 60Hz refresh rate."||||Receiver, power adapter, documentation||||||||||||||||||||||"(1) RJ-45 (F)
(1) 3.5mm
(1) HDDB15"||Receiver|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy Acer 23"" H236HL BID Full HD IPS LED Monitor, Black Monitors - LED-LCD UM.VH6AA.003 today at PC Connection"||||250 cd/m2|Black||"Vivid:
You'll enjoy tasks and entertainment more with fine details and smooth movement, thanks to high resolutions, fast response times and superior contrast ratios. Games are more exciting and films truly cinematic when visuals are vibrant. Plus, the widescreen aspect ratio frames movies and HDTV content perfectly.
Easy:
Set your display as you see fit with Acer eColor Management. A host of ports, including HDMI, DVI, DisplayPort and VGA, let you connect other devices -- like your notebook or HDTV -- to expand your perspective to a bigger screen. The great sights are complemented by nice sound in models that include internal speakers.
Green:
Safe for you and your world, Everyday Series monitors are RoHS compliant, use mercury-free white LED backlighting and meet ENERGY STAR 5.0 requirements. Acer EcoDisplay technologies deliver up to 68% power savings, further conserving energy and costs. Acer packaging is made of recyclable materials, too.
Glossy screen finish."||['DVI', 'Power', 'HDDB15', 'HDMI']|['VGA', 'HDMI', 'DVI', 'Power']|Monitor, VGA cable, DVI cable, HDMI cable, documentation|100,000,000:1||Digital Visual Interface (DVI)|Tilt|23 in|['LCD', 'LED-backlit']|['Widescreen', 'Glossy']|||||||250 cd/m2|||1920 x 1080|||||"(1) DVI
(1) HDMI
(1) HDDB15 VGA
(1) Power in"||||||5 ms|||||||178/178|3 Years|3 Years|limited|
Buy Samsung Wall Mount for MD32B, MD40B, MD46B, ME55B, ME65B Stands & Mounts - AV WMN-250MD today at PC Connection|||||||||||mount, documentation||||||||||||||||||||||||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||Call for Warranty|Call for Warranty||
"Buy 3M Privacy Filter for 30"" Widescreen LCD Display Glare Filters & Privacy Screens PF30.0W today at PC Connection"|||||||"Fits widescreen desktop monitors with a diagonally measured 30"" viewing screen"||||Filter, documentation|||||||||||||||||||||"15.77""h x 25.22""w"|||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
Buy Peerless PLP Flat Panel Adapter Plate, Black Stands & Mounts - AV PLP-V2X1 today at PC Connection|||||Black||||||Adapter plate, documentation||||||||||||||||||||||||Adapter plate kit|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||N/A|N/A||
"Buy ELO Touch Solutions 15"" AccuTouch 1517L LED Touchscreen Monitor, Monitors - LED-LCD E144246 today at PC Connection"|||||Black|||['China RoHS', 'CB', 'S Mark', 'BSMI', 'VCCI', 'C-Tick', 'WEEE', 'CCC', 'KCC', 'IC', 'RoHS', 'FCC', 'CUL']||||||||15 in|||||||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy 3M Privacy Filter for 18.5"" Widescreen LCD Display Glare Filters & Privacy Screens PF18.5W today at PC Connection"|||||||"18.5"" widescreen with 16:9 aspect ratio and 1366 x 768 resolution."||||Privacy filter, documentation|||||||||||||||||||||"9.1""h x 16.2""W"|||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year|From date of purchase|
"Buy Peerless Fixed Extension Column, 12"", White Stands & Mounts - AV EXT101-AW today at PC Connection"|0.00 lb(s)||||White||Max load capacity: 1200 lbs.|['UL', 'CUL']|||Extension column, documentation|||||||||||||||||||||"12""l"|||Projector ceiling mount extension tube|||||This product is subject to our return policy. Please see our complete return policy for details.||||['Projector', 'Monitor']|||Call for Warranty|Call for Warranty||
Buy Ergotron LX Dual Display Lift Stand, Black Stands & Mounts - AV 33-299-195 today at PC Connection|0.00 lb(s)||||Black||"Mounting Standards: VESA FDMI, MIS-D, 75/100, C (hole pattern: 100 x 100 mm & 75 x 75 mm)
LCD Size: = 24""
Capacity: 12–28 pounds (combined weight)
Tilt: 20 degrees"||||Unit, documentation||||||||||||||||||||||||Display stand|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||5 Years|5 Years||
Buy C2G TruLink HDMI Over Coax Receiver Video Extenders & Splitters 40575 today at PC Connection|1.30 lb(s)||||Black||"Receiver connects to existing Transmitter or Receiver to allow RG6 coax output connection to additional units.
Connect up to 24 monitors."||||Receiver, power adapter, documentation||||||||||||||||||||||"(1) HDMI (F)
(2) BNC (F)"||Extender|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy Tripp Lite VGA over Cat5 Cat6 Extender, Transmitter and Receiver Video Extenders & Splitters B130-101-2 today at PC Connection|1.80 lb(s)||||Black||"Extends a 1920 x 1440 (60Hz) video signal up to 500 ft., or a 1024 x 768 (60Hz) video signal up to 1, 000 ft., when using 24Awg, Solid Wire Cat5e/6 cable, such as Tripp Lite's N022-01K-GY (Cat5) and N222-01K-GY (Cat6).
EDID copy feature ensures optimal display compatibility.
For optimal image quality between 500 and 1, 000 ft., use Zero-Skew cable, such as Tripp Lite P524-01K.
Compliant with the Federal Trade Agreements Act (TAA) for GSA Schedule purchases."|['RoHS', 'TAA']|||transmitter, receiver, (2) mounting hardware kit, (2) external power supply, mini screwdriver, documentation||||||||||||||||||||||"(3) HDDB15 VGA
(2) RJ-45 LAN"||AV Extender|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
