3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|environmentconscious and reliable|features|flexible viewing and connectivity options|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|impressive screen clarity|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|superb performance|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|E2411PU, 2837325, LG Electronics, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|LG|250 cd/m²|['USB Hub', 'Speaker']|UL(cUL) TUV-GS SEMKO FCC-B CE||16.7 Million Colours|||1,000:1||63 mm|271 mm|||Yes||||||||||||342 mm|543 mm||170°||['110 V AC', '220 V AC']||LG Electronics|E2411PU||1920 x 1080|Wall Mountable||1||300 mW|30 W|||Twisted Nematic Film (TN Film)|PC||Flatron|E2411PU|"24"" LED LCD Monitor"|E11|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|Anti-glare|||Yes||300 mW|||||||Yes|||160°|Yes|100 x 100|Yes||3.70 kg|5.10 kg|569 mm|569 mm
|R52DSEU, S601YZ7, Lenovo, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Lenovo|200 cd/m²||FCC BEuPULE GoldBELLISBSMICCCCEcULus+ICESKCGostIEC950 CB ReportJEITAKEBSKONCARKVALITETNEMKONOMOTANSASOSONCAPTUV bauartTUV-SSABSVCCIICUL GOLDANSI S12.10ISO/DIS 7779|Raven Black|262,000 Colors|||400:1||21.6 mm||||||||Security Lock|||['REACH', 'ENERGY STAR 5.1', 'EPEAT Gold', 'RoHS', 'WEEE', 'China RoHS']|Yes||||217.9 mm|||90°|||3 Year|Lenovo Group Limited|R52DSEU||1366 x 768|||1|||5 W||||PC||ThinkVision|LT1421|ThinkVision LT1421 Widescreen LCD Monitor||LCD Monitor|||8 ms|HD|"35.6 cm (14"")"|||||60 Hz|100 mW|||||||Yes|USB 2.0||50°|No||||840 g||335 mm|
|KDL32EX500PAEP, 2060644, Sony, LCD Monitor, IML Direct Italy|||||16:9|CCFL|Sony||Speaker||Black||Yes|Yes|||96 mm||||||||['Sleep Timer', 'Zoom', '3D Comb Filter', 'Ambient Light Sensor']||||||Yes|Yes|497 mm|||178°||220 V AC|3 Year|Sony Corporation|KDL32EX500PAEP||1920 x 1080||Yes|1|2||119 W|BRAVIA KDL32EX500PAEP Widescreen LCD MonitorRemote Control2 x AAA BatteriesAC Power Cord|||PC||BRAVIA|KDL32EX500PAEP|BRAVIA KDL32EX500PAEP Widescreen LCD Monitor||LCD Monitor||||Full HD|"81.3 cm (32"")"||||Yes|100 Hz|200 mW|||||||Yes|USB 2.0||178°|Yes|200 x 200|Yes||9.90 kg||800 mm|
|241P4QRYES/00, 2871068, Philips, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Philips|250 cd/m²|['USB Hub', 'Speaker']|BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO|Textured Black|16.77 Million Colors|||20,000,000:1||61 mm|220 mm|Landscape/Portrait|Yes|Yes||||['SmartErgoBase', 'SmartImage', 'Sync on Green', 'Eco Mode', 'ErgoSensor', 'Security Lock', 'Zero Power Switch']|||['TCO Certified Edge', 'ENERGY STAR 6.0', 'TCO Certified Displays 6.0', 'TÜV', 'WEEE', 'EPEAT Gold', 'RoHS']|Yes|Yes||Yes|353 mm|521 mm||178°||['220 V AC', '110 V AC']||Philips Electronics|241P4QRYES/00|130 mm|1920 x 1080|Wall Mountable||1|2|0 mW|21.60 W||||['Mac', 'PC']|65%|Brilliance|241P4QRYES|Brilliance 241P4QRYES Widescreen LCD Monitor|P|LCD Monitor|Yes|Plastic|4 ms|Full HD|"61 cm (24"")"||||Yes|60 Hz|200 mW|||65°|||-5°to20°|Yes|USB 2.0||178°|Yes|100 x 100|Yes||3.10 kg|5.30 kg|565 mm|565 mm
|C3Z93A3#ABU, 9439AXK, HP, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|HP|250 cd/m²||CB CE FCC Marking ES 5.2 CSA/C-UL/C-ETL Mark UL/CSA-NTRL/ETL-NRTL Mark ICES CCC Bauart ISO9241-307 GOST 25861 HRN N N0.201 GOST R 50377-1992 GOST 25861 EEI IS 1121 SASO SABS IEC 60950-1 NOM-019-SCFI-1998 KC Mark KCC Mark PSB Mark ISC mark C-Tick|Black|16.77 Million Colors|||1,000:1||171 mm||||Yes||||Security Lock|||['ENERGY STAR', 'EPA', 'CECP', 'ErP', 'REACH', 'WEEE']|Yes|Yes|Yes||404 mm|||178°||['110 V AC', '220 V AC']|1 Year|Hewlett-Packard|C3Z93A3#ABU||1920 x 1080||No|1|||30 W|"Pavilion 23bw 58.4 cm (23"") IPS LED Backlit Monitor A/C Power Cable Power Adapter VGA Cable DVI-D Cable Cable Management Clip Documentation CD Set Up Poster Telephone Card"||In-plane Switching (IPS) Technology|PC||Pavilion|23bw|"Pavilion 23bw 58.4 cm (23"") IPS LED Backlit Monitor"||LCD Monitor|||7 ms|Full HD|"58.4 cm (23"")"|Anti-glare|||No|76 Hz|500 mW||||||||||178°|||Yes|No|3.50 kg||532 mm|
|I2770VHE, 3142910, AOC, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|AOC|300 cd/m²||CE GOST ISO 9241-307 TUV-GS FCC|Black|16.7 Million Colours|||50,000,000:1|||241.90 mm||No|Yes||||['i-Menu', 'Eco Mode', 'e-Saver', 'Screen+']|||['TCO Certified Displays 6.0', 'EuP', 'RoHS', 'REACH', 'EPEAT Gold', 'ENERGY STAR 6.0']|Yes|Yes|Yes|||449.30 mm||178°||['230 V AC', '120 V AC']|3 Year|AOC|I2770VHE||1920 x 1080|Wall Mountable||1||500 mW|32 W|"i2770Vhe 68.6cm (27"") LCD Monitor Power Cable D-Sub Cable HDMI Cable Product CD-ROM Warranty Card on CD-ROM"||PLS (Plane to Line Switching) Technology|||Value|i2770Vhe|"i2770Vhe 68.6cm (27"") LCD Monitor"||LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"||||No|60 Hz|500 mW||||||-5°to25°|No|||178°|Yes|100 x 100|Yes||4.80 kg|||642.40 mm
|60003295, 3967708, NEC Display Solutions, LCD Monitor, IML Direct Italy||Yes|No||16:9||NEC Display|300 cd/m²||CEErPTÜV ErgonomicsTÜV GSGEEA/Energy LabelFCC Class BPCT/GostUL/C-ULCSACCCISO 9241-307 (pixel failure class 2)|Black|16.7 Million Colours|||1,000:1||190 mm||||Yes||||['Auto Brightness Control (ABC)', 'Security Lock']|||['EPEAT Silver', 'ENERGY STAR 5.0', 'TCO Certified Displays 5.1']|Yes||||395.1 mm|||178°||['220 V AC', '110 V AC']||NEC Display Solutions|60003295||1920 x 1080|||1|||23 W|AccuSync AS241W Widescreen LCD MonitorPower CableUser ManualVGA - VGA Cable|||PC||AccuSync|AS241W|AccuSync AS241W Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|||||76 Hz|450 mW||||||||||170°|Yes|100 x 100|Yes||4.30 kg||566 mm|
No|231B4LPYCB/00, PHI-231B4LPYCB/00, Philips, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Philips|250 cd/m²|['Speaker', 'USB Hub']|BSMI CE Mark FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS UL/cUL|Black|16.7 Million Colours|||1,000:1||60 mm|507 mm|Landscape/Portrait|Yes|Yes||||['SmartImage', 'SmartErgoBase', 'PowerSensor', 'SmartControl', 'Eco Mode', 'Zero Power Switch', 'Security Lock', 'SmartContrast', 'Sync on Green']|||['ENERGY STAR 5.0', 'RoHS', 'TCO Certified Displays 5.2', 'WEEE', 'TCO Certified Edge', 'EPEAT Gold']|Yes|Yes||Yes|343 mm|227 mm||170°||['110 V AC', '220 V AC']|2 Year|Philips Electronics|231B4LPYCB/00||1920 x 1080|Wall Mountable|No|1|2|0 mW|24.20 W||1||['PC', 'Mac']|65%|Brilliance|231B4LPYCB|Brilliance LCD Monitor, LED Backlight with PowerSensor|B|LCD Monitor|Yes|Plastic|5 ms|Full HD|"58.4 cm (23"")"||||Yes|60 Hz|100 mW|||||||Yes|USB 2.0||160°|Yes|100 x 100|Yes|No|3.07 kg|4.89 kg|547 mm|547 mm
|9H.LC9LA.DBE, 3004575, BenQ, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|BenQ|250 cd/m²|||Glossy Black|16.7 Million Colours|||12,000,000:1||179 mm||||||||['Security Lock', 'Flicker-free', 'Senseye 3', 'Advanced Motion Accelerator (AMA)']|||TCO Certified Displays 6.0|Yes|Yes|Yes|Yes|436 mm|||170°||['120 V AC', '230 V AC']|2 Year|BenQ Corporation|9H.LC9LA.DBE||1920 x 1080|Wall Mountable||1|||42 W|GL2450H Widescreen LCD Monitor VGA Cable||Twisted Nematic Film (TN Film)|PC|||GL2450H|GL2450H Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||||||||||-5°to15°||||160°|Yes|100 x 100|Yes||4.70 kg||579 mm|
3D Ready|9H.L9SLB.RBE, 2998469, BenQ, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|BenQ|350 cd/m²|||['Red', 'Black']|16.7 Million Colours|||12,000,000:1||222 mm|63 mm||No|Yes||||['LightBoost Technology', 'Game Mode', 'Eco Mode', 'Advanced Motion Accelerator (AMA)', 'Security Lock', 'Senseye 3', 'Black eQualizer', 'Flicker-free', 'Motion Blur Reduction Technology']|||ENERGY STAR|Yes|Yes|Yes|Yes|431 mm|347 mm||170°||['110 V AC', '220 V AC']||BenQ Corporation|9H.L9SLB.RBE|130 mm|1920 x 1080|Wall Mountable||1||500 mW|36 W|XL2411Z Widescreen LCD Monitor VGA cable DVI DL cable||Twisted Nematic Film (TN Film)|PC|||XL2411Z|XL2411Z Widescreen LCD Monitor|XL|LCD Monitor|||1 ms|Full HD|"61 cm (24"")"||||No|144 Hz|500 mW|||45°||No|-5°to20°||||160°|Yes|100 x 100|Yes||6 kg||570 mm|570 mm
|G2770PQU, 3142911, AOC, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|AOC|300 cd/m²|['Speaker', 'USB Hub']|CE GOST TÜV-GS Ukrain Safety|Black Hairline|16.7 Million Colours|||80,000,000:1||244 mm|||Yes|Yes||||['i-Menu', 'Security Lock', 'Eco Mode', 'e-Saver', 'Screen+']|||['EPEAT Gold', 'TCO Certified Displays 6.0', 'ENERGY STAR 6.0', 'RoHS']|Yes|Yes|Yes|Yes|556 mm|||170°|||3 Year|AOC|G2770PQU|130 mm|1920 x 1080|Wall Mountable||1|2|||"LED Monitor - G2770PQU Style 68.6cm (27"") Power cable D-Sub cable DVI-D cable Audio cable USB-cable Product CD-ROM Warranty Card on CD-ROM DisplayPort cable"||Twisted Nematic Film (TN Film)|PC||Style|G2770PQU|"LED Monitor - G2770PQU Style 68.6cm (27"")"||LCD Monitor|||1 ms|Full HD|"68.6 cm (27"")"||||Yes|144 Hz|||||||-5°to25°|Yes|USB 3.0||160°|Yes|100 x 100|Yes||8 kg||642.4 mm|
|R47HCUK, S6033S6, Lenovo, LCD Monitor, IML Direct Italy||Yes|Yes||5:4|CCFL|Lenovo|250 cd/m²||BSMI CCC NOM 018 GOST ICE950 NEMKO TUV-GS JEITA SABS KC FCC Class B SISIR TUV-S ISC AAA-S ISO 9241-307 IC CE VCCI Energy Efficiency Standard Tier 1|Business Black|16.7 Million Colours|||1,000:1||155.2 mm||||Yes||||['Auto Setup', 'Security Lock']|||['TCO Certified Edge Displays 1.1', 'TCO Certified Displays 6.0', 'ENERGY STAR 6.0', 'REACH', 'China RoHS', 'RoHS', 'EU WEEE', 'China Energy Label (CEL)', 'EuP', 'EU RoHS', 'TCO Displays 5.0', 'SCS', 'EPEAT', 'MPR II', 'ULE Gold']|Yes||||406.4 mm|||170°||['220 V AC', '110 V AC']|3 Year|Lenovo Group Limited|R47HCUK||1280 x 1024|||1||500 mW|18 W|ThinkVision LT1712p Monitor Tooless Detachable Stand VGA Cable DVI Cable Power Cord CD Containing Multilingual User's Guide, Setup Test Pattern, and Windows Installation File Quick Start and Safety Poster|1||PC||ThinkVision|LT1712p|ThinkVision LT1712p Monitor||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"|||||75 Hz|500 mW||||||||||160°|Yes|100 x 100|Yes||4.24 kg||370.8 mm|
|K9601560, 2882962, Barco, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|4:3||Barco|1650 cd/m²|USB Hub||Grey|1024 Gray Levels (10-bit)|||850:1||114 mm|249 mm|Landscape/Portrait||Yes||||['Ambient Light Compensation (ALC)', 'Picture Archiving and Communication System (PACS)', 'Backlight Output Stabilization (BLOS)', 'Uniform Luminance Technology (ULT)']||||||||382 mm|532 mm||170°||||Barco|K9601560||1600 x 1200|||1|||65 W|||In-plane Switching (IPS) Technology|||Nio|MDNG-2121|Nio 2MP (MDNG-2121) 2 MegaPixel Diagnostic Grayscale Display System||LCD Monitor|||23 ms|UXGA|"54.1 cm (21.3"")"|Anti-reflective||||||||||||Yes|USB 2.0||170°|Yes|100 x 100|||8.12 kg|12.10 kg|488 mm|488 mm
|E2260PHU, 2501023, AOC, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|AOC|250 cd/m²|['Speaker', 'USB Hub']|CEFCCISO 9241-307TUV-GS|Black|16.7 Million Colours|||1,000:1||244.6 mm|||No|Yes||||Security Lock|||['EPEAT Gold', 'TCO Displays 5.0', 'ENERGY STAR 5.0', 'RoHS']|Yes|Yes|Yes||507.8 mm|||170°||||AOC|E2260PHU||1680 x 1050|Wall Mountable||1||||"LED Monitor - e2260Phu Professional 55.8cm (22.0"")Power CableD-Sub CableDVI-D CableAudio CableUSB Cable"|||PC||Professional|e2260Phu|"LED Monitor - e2260Phu Professional 55.8cm (22.0"")"||LCD Monitor|||2 ms|WSXGA+|"55.9 cm (22"")"||||Yes|60 Hz||||||||Yes|||160°|Yes|100 x 100|Yes||||521.3 mm|
|27MP35HQ-B, 2998422, LG Electronics, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|LG||||Black||||50,000,000:1|||||||||||||TCO Certified Displays 6.0|Yes|Yes|Yes|||||||||LG Electronics|27MP35HQ-B||1920 x 1080|||1||||||In-plane Switching (IPS) Technology||||27MP35HQ-B|27MP35HQ-B Widescreen LCD Monitor||LCD Monitor|||5 ms||"68.6 cm (27"")"|||||||||||||||||Yes||Yes||4.80 kg|||
|9H.LA6LB.RPE, 2895554, BenQ, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|BenQ|250 cd/m²|||Glossy Black|16.7 Million Colours|||1,000:1||194 mm||||Yes||||['Security Lock', 'Senseye 3', 'Eco Mode', 'Reading Mode']|||['TCO Certified Displays 6.0', 'ENERGY STAR 6.0']|Yes||||434 mm|||170°||['220 V AC', '110 V AC']||BenQ Corporation|9H.LA6LB.RPE||1920 x 1080|Wall Mountable||1|||23 W|||Twisted Nematic Film (TN Film)|PC|||GL2460|GL2460 Widescreen LCD Monitor|GL60|LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||||300 mW||||||||||160°|Yes|100 x 100|Yes||4.30 kg||565 mm|
|UM.XG6EE.004, 8654C80, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|200 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||33.5 mm|169.20 mm||||||||||MPR II|Yes||||277.3 mm|327.50 mm||90°||['110 V AC', '220 V AC']|2 Year|Acer, Inc|UM.XG6EE.004|No|1366 x 768|||1||400 mW|15 W|G196HQL Widescreen LCD Monitor1 x VGA CablePower Cord||Twisted Nematic Film (TN Film)||||G196HQL|G196HQL Widescreen LCD Monitor|G|LCD Monitor|||5 ms|WXGA|"47 cm (18.5"")"|Anti-glare||||60 Hz|450 mW|||No|||-5°to15°||||65°|No||Yes||1.70 kg|2.23 kg|446.4 mm|446.40 mm
|60003584, NECE224WMIB, NEC Display Solutions, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|NEC Display|250 cd/m²||CE TÜV Ergonomics TÜV GS DDC-2B FCC Class B PSB|Black|16.7 Million Colours|||1,000:1||58.5 mm|213.90 mm|Landscape/Portrait|Yes|Yes||||['Cable Management', 'Eco Mode', 'Security Lock', 'Carbon Footprint Meter']|||['ErP', 'ENERGY STAR 6.0', 'EPEAT Silver', 'MPR III', 'TCO Certified Displays 6.0', 'RoHS']|Yes|Yes|||301.1 mm|364.50 mm||178°||['220 V AC', '110 V AC']|3 Year|NEC Display Solutions|60003584||1920 x 1080|||1|||25 W|"LCD 21.5"" Public Display Power Cable Signal Cable: VGA - VGA Signal Cable: DVI-D - DVI-D"||In-plane Switching (IPS) Technology|PC||MultiSync|E224Wi|"LCD 21.5"" Public Display"||LCD Monitor|Yes|Plastic|6 ms|Full HD|"54.6 cm (21.5"")"|||||60 Hz|400 mW||||||||||178°|Yes|100 x 100|Yes||5.90 kg||507.4 mm|507.40 mm
|UM.WG6EE.H05, ACEG226HQLHBID, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||36 mm|168 mm|||Yes|32 kWh|B|||||MPR II|Yes||Yes||311 mm|365 mm||178°||['220 V AC', '110 V AC']|2 Year|Acer, Inc|UM.WG6EE.H05|No|1920 x 1080|||1||300 mW|20.50 W|G226HQL Widescreen LCD Monitor1 x VGA CablePower Cord||Vertical Alignment (VA)||||G226HQL|G226HQL Widescreen LCD Monitor|G|LCD Monitor|||8 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare||||60 Hz|340 mW|||No|||-5°to15°||||178°|No||Yes||2.60 kg|2.90 kg|511 mm|511 mm
|UM.HV6EE.013, 8654J44, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|300 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||||||Yes|||||||['EPEAT Gold', 'TCO Certified Displays 6.0']|Yes|Yes||||||178°||['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.HV6EE.013|No|1920 x 1080|||1||350 mW|28.50 W|V276HL Widescreen LCD MonitorPower Cord1 x VGA Cable||Vertical Alignment (VA)||||V276HL|V276HL Widescreen LCD Monitor|V|LCD Monitor|||6 ms|Full HD|"68.6 cm (27"")"|Anti-glare||||60 Hz|450 mW|||No|||-5°to25°||||178°|Yes|100 x 100|Yes|||||
|VX2880ML, B921661, ViewSonic, LCD Monitor, IML Direct Italy||Yes||||LED|Viewsonic|300 cd/m²|||Black|1.07 Billion Colors|||50,000,000:1||52 mm|240 mm||Yes|Yes||||['Flicker-free', 'Mobile High-Definition Link (MHL)']||||||Yes||412.5 mm|510.58 mm||170°||||Viewsonic Corporation|VX2880ML||3840 x 2160|Wall Mountable||1|2|||||Twisted Nematic Film (TN Film)|PC|||VX2880ml|VX2880ml Widescreen LCD Monitor|VX|LCD Monitor|||5 ms|QFHD|"71.1 cm (28"")"|Anti-glare|||Yes||||||||-5°to20°||||160°|Yes|100 x 100|||||660 mm|659.96 mm
|VG2401MH, B921671, ViewSonic, LCD Monitor, IML Direct Italy|||||16:9|LED|Viewsonic|350 cd/m²|['Speaker', 'USB Hub']|||16.7 Million Colours|||30,000,000:1||51.2 mm|217.90 mm||Yes|Yes||||||Click to view|['ErP', 'REACH', 'RoHS', 'WEEE']|Yes||Yes||335.7 mm|529.70 mm|||||3 Year|Viewsonic Corporation|VG2401MH||1920 x 1080|||1|||37 W|||||||VG2401mh|"VG2401mh 24"" 144Hz Fully Ergonomic Gaming Display"|VG|LCD Monitor|||1 ms|Full HD|"61 cm (24"")"||||Yes|||||||||Yes||||Yes||||3.45 kg|6.45 kg|568.2 mm|568.20 mm
|K9601651, 2920979, Barco, LCD Monitor, IML Direct Italy||||Yes|4:3||Barco|1650 cd/m²|USB Hub|||1024 Gray Levels (10-bit)|||850:1||114 mm|249 mm|Landscape/Portrait||Yes||||['Backlight Output Stabilization (BLOS)', 'Uniform Luminance Technology (ULT)']||||||||382 mm|532 mm||170°||||Barco|K9601651||1600 x 1200|||1|||65 W|||In-plane Switching (IPS) Technology|PC||Nio|MDNG-2121|2 MegaPixel Diagnostic Grayscale Display System||LCD Monitor|||23 ms|UXGA|"54.1 cm (21.3"")"|Anti-reflective||||||||||||Yes|USB 2.0||170°|Yes|100 x 100||||12.10 kg|488 mm|488 mm
|E2070SWN, 2779103, AOC, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|AOC|200 cd/m²||EPEAT Silver FCC GOST TÜV-GS ISO 9241-307 NRTL||16.7 Million Colours|||800:1|||||No|No||||['Eco Mode', 'Security Lock']|||['RoHS', 'EPEAT Silver', 'ENERGY STAR 6.0', 'EuP']|Yes|No|No|||||||['220 V AC', '110 V AC']|3 Year|AOC|E2070SWN||1600 x 900|Wall Mountable||1||||"E2070SWN 49.5cm (19.5"") LED Monitor Power Cable D-Sub Cable Driver CD Warranty Card on CD-ROM"|||||Professional|E2070SWN|"E2070SWN 49.5cm (19.5"") LED Monitor"||LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"||||No|60 Hz||||||||||||Yes|100 x 100|Yes|||||
|VN247H, 2614348, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Asus|250 cd/m²|Speaker|BSMICBCCCCEC-TickFCCGost-RUL/cULVCCIWHQL|Black|16.7 Million Colours|||80,000,000:1|||194.20 mm|||Yes||||['Security Lock', 'MultiScreen', 'Trace Free Technology', 'Video Intelligence Technology']|||['RoHS', 'TCO Certified Displays 6.0', 'EPEAT Gold', 'ENERGY STAR']|Yes|Yes|Yes|Yes||394.90 mm||170°|||3 Year|ASUS Computer International|VN247H||1920 x 1080|Wall Mountable||1|2|500 mW|35 W|VN247H Widescreen LCD MonitorVGA CableAudio CablePower CordQuick Start GuideHDMI-to-DVI CableWarranty Card|||PC|||VN247H|VN247H Widescreen LCD Monitor|VN|LCD Monitor|Yes||1 ms|Full HD|"59.9 cm (23.6"")"|Anti-scratch|||Yes|75 Hz|500 mW||||||||||160°|Yes|100 x 100|Yes||3.70 kg|||548.60 mm
|C9F26AA#A2K, HP, LCD Monitor, IML Direct Italy|||||16:9|LED|HP|250 cd/m²|||Black||||3,000,000:1||47.5 mm|151.10 mm|||Yes||||||Click to view|['ENERGY STAR', 'TCO Certified Edge']|Yes||||294.1 mm|359.20 mm|||||3 Year|Hewlett-Packard|C9F26AA#A2K||1600 x 900|||1|||22 W|ProDisplay P201 20-inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted Documentation and CD|||||ProDisplay|P201|ProDisplay P201 20-inch LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|||||||||||||||||||Yes||3.50 kg||482 mm|482 mm
|VA2046M-LED, B921481, ViewSonic, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Viewsonic|200 cd/m²|Speaker|CB UL cUL FCC-B TUV-S NOM CE GOST-R+Hygienic SASO CCC BSMI PSB C-TICK|Black|16.7 Million Colours|||600:1||49 mm|197.60 mm|||Yes||||['Security Lock', 'Eco Mode']|||['RoHS', 'WEEE', 'China Energy Label (CEL)']|Yes||||301.8 mm|360.20 mm||90°||['220 V AC', '110 V AC']||Viewsonic Corporation|VA2046M-LED||1600 x 900|Wall Mountable||1|2||18 W|VA2046m-LED Widescreen LCD Monitor Power Cable D-Sub Cable Audio Cable Quick Start Guide CD-ROM|||['Mac', 'PC']|||VA2046m-LED|VA2046m-LED Widescreen LCD Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|Anti-glare|||Yes|75 Hz|500 mW||||||||||65°|Yes|100 x 100|Yes||2.60 kg|3 kg|478.2 mm|478.20 mm
|VK248H, ASUCAS052, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Asus|250 cd/m²|['Webcam', 'Speaker']|UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSE|Piano Black|16.7 Million Colours|||1,000:1|||61.50 mm|||Yes||||['Security Lock', 'Splendid Video Intelligence Technology', 'Trace Free Technology']|||['WEEE', 'J-Moss (Japanese RoHS)', 'RoHS', 'ENERGY STAR 5.0']|Yes|Yes|Yes|Yes||358.80 mm||170°||||ASUS Computer International|VK248H||1920 x 1080|Wall Mountable|No|1|2|500 mW|42 W|VK248H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordUSB CableSupport CD(LifeFrame2)Quick Start GuideWarranty Card|||PC|||VK248H|VK248H Widescreen LCD Monitor|VK|LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||Yes|76 Hz|500 mW|||||||Yes|||160°|Yes|100 x 100|Yes||5 kg|||568.40 mm
|C9V75AA#AC8, HP, LCD Monitor, IML Direct Italy|||||16:9|LED|HP|250 cd/m²|USB Hub||Black||||5,000,000:1||51 mm|242.40 mm||Yes|Yes||||||Click to view|['TCO Certified Edge', 'ENERGY STAR']|Yes||||329 mm|469.90 mm|||||3 Year|Hewlett-Packard|C9V75AA#AC8||1920 x 1080|||1|||36 W|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD|||||Elite|E231|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||||||||||Yes||||||Yes||3.90 kg||544 mm|544 mm
|9H.LATLA.TPE, M352412, BenQ, LCD Monitor, IML Direct Italy||Yes|||16:10|LED|BenQ|250 cd/m²|Speaker||Black|16.7 Million Colours|||1,000:1||183.9 mm||||Yes||||['Senseye 3', 'Security Lock', 'Eco Mode']|||TCO Certified Displays 6.0|Yes|||Yes|414 mm|||170°||['220 V AC', '110 V AC']||BenQ Corporation|9H.LATLA.TPE||1680 x 1050|Wall Mountable||1|2||26 W|||Twisted Nematic Film (TN Film)|PC|||BL2211M|BL2211M Widescreen LCD Monitor|BL|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes||300 mW||||||||||160°|Yes|100 x 100|Yes||4.20 kg||522.2 mm|
|BDL3210Q/00, Philips, LCD Monitor, IML Direct Italy|||||16:9|Edge LED|Philips|350 cd/m²|['Speaker', 'USB Hub']|CEFCC Class BCCCUL/cULC-Tick||16.7 Million Colours|Yes|Yes|1,200:1||56.8 mm||Landscape||||||3D Comb Filter|||RoHS|Yes||Yes||462.7 mm|||178°|||3 Year|Philips Electronics|BDL3210Q/00||1366 x 768|||1|2||100 W|"LED Display BDL3210Q 80cm (31.5"") Edge LED HD ReadyRemote ControlBatteriesAC Power CordVGA CableUser Manual on CD-ROMQuick Start Guide"|||PC|||BDL3210Q|"LED Display BDL3210Q 80cm (31.5"") Edge LED HD Ready"||LCD Monitor|||8 ms|WXGA|"80 cm (31.5"")"||||Yes|60 Hz|500 mW|||||||Yes|USB 2.0||178°|Yes|200 x 100|Yes||8.05 kg||745.2 mm|
