<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altoparlante  cuffia  spinotto di uscita|altoparlanti|altoparlanti incorporati|angolo di inclinazione|angolo di rotazione|angolo di visione orizzontale|angolo di visione verticale|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|area di visualizzazione effettiva|blocco cavo|bluetooth|caratteristiche|caratteristiche sicurezza|cavi inclusi|cavo alimentazione incluso|certificato energy star|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del prodotto|colore piedi|colori del display|colori display|comandi  regolazioni|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|composite sync|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connettori di ingresso|consumi|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico annuo|consumo energetico in standby|consumo energetico max|controllo del volume|copertura schermo|dcin jack|descrizione prodotto|dettagli dimensioni e peso|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni lxpxh|dimensioni schermo|display surface|dot pitch|dot rate video|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|interfacce|interfaccia comune|interfaccia di montaggio schermo piatto|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità|luminosità schermo|lunghezza cavo|lunghezza diagonale|manuale dellutente|megapixel|microfono incorporato|microfono spinotto dingresso|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mtbf|number of simultaneous touchpoints windows 7|numero di altoparlanti|numero di lingue osd|numero di prodotti inclusi|on screen display osd|peso|peso incluso imballo|peso prodotto con supporto|pictureinpicture|pivot angle|pixel pitch|plug  play|porta dvi|porta rs232|porta usb|posizionamento supportato|potenza assorbita in esercizio|potenza di uscita  canale|potenza in uscita rms|profondità|profondità con supporto|profondità imballo|protezione per i bambini|quantità|quantità displayports|quantità porte dvid|quantità porte hdmi|quantità porte thunderbolt|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|range di scansione orizzontale|range di umidità di funzionamento|rapporto daspetto|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regolazione posizione display|regolazioni formato schermo|retroilluminazione a led|risoluzione|risoluzione massima|risoluzione nativa|risoluzioni grafiche supportate|rotazione|schermo srgb|sicurezza|sintonizzatore tv integrato|sistema operativo linux supportato|sistema operativo windows supportato|source datasheet|standard ambientali|standard di conformità|subwoofer incorporato|supporto colore|sync hv separato|syncongreen sog|tecnologia display|tecnologia retroilluminazione|tecnologia touchscreen|telecomando|tempo di risposta|tensione richiesta|thin client installato|tipi schede di memoria|tipo|tipo alimentazione|tipo di display|tipo di dispositivo|tipo di prodotto|tipo di schermo|tipo schermo|tipologia di retroilluminazione|tipologia display|tipologia hd|tipologia touch screen|umidità|uscita audio|velocità refresh orizzontale|velocità refresh verticale|voltaggio di ingresso|webcam girevole
HannsG 21.5 HE225DPB MONITOR LED|Si|||367.4 mm|||||Si|||||170 °|160 °||Kensington||||AC, Audio (3.5mm), DVI, VGA|||FCC, UL/CUL, CE, CB, GOST, 3C|Si||||Nero||16.77 M||||100 x 100 mm||||||||||24 W||0.5 W|0.5 W|||||||||||||571 x 118 x 416 mm|||"['54.6 cm', '546.1 mm (21.5 "")']"||0.248 x 0.248 mm||16:9|N|50/60 Hz||||||Si||Si||-5 - 17 °|||Si||Si||||Si|56 - 75 Hz|5 - 35 °C||512.8 mm|||||DEU, DUT, ENG, ESP, FRE, ITA, JPN, KOR, POR, RUS, SCR||250 cd/m²|1.5 m||Si|||||1080p|Si|||2|12||Si|3.12 kg|||||||||||||3 W|185 mm||||||1|||||1|30 - 83 kHz|20 - 85 %||1000:1|40000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||Si|||||||Si|TN+Film||||5 ms||||||||||||LED|Full HD||||||100 - 240 V|
HannsG 23.6 HS241HPB IPS MONITOR LED|Si|||39,9 cm|||||Si|||||178°|178°||Kensington||||AC, Audio (3.5mm), VGA|||FCC, UL/CUL, CE, CB, 3C, TCO6.0, GS|Si|Non specificato|||Nero||16,77M||||100 x 100 mm|No|||||||||||0,5W|0,5W||||||||||||||||"['59,94 cm (23.6"")', '60 cm']"|Matt|0,271 x 0,271 mm||16:9|No|50/60 Hz||||||Si||Si||-5 - 15°|Si||||Si|||||56 - 75 Hz||5 - 35 °C|56,1 cm|||||DEU, DUT, ENG, ESP, FRE, ITA, KOR, POR, RUS||250 cd/m²|||Si|||||1080p|Si|||2|12||Si|4,5 kg|5,4 kg||||||Si||||||3W|22 cm||||||1|1||||1|30 - 83 kHz|20 - 85%||1000:1|80000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
IIyama LED 30 PL XB3070WQS-B 11ms VGA DP DVI HDMI Speaker MONI...||||23 cm|||1||Si||-90 - 45°|||178°|178°||Kensington||||AC, AUX, DisplayPort, DVI||||||||Nero||16,77M||||100 x 100 mm|No|||||||||73W|||0,5W||||||||||64,13 cm|40,08 cm|||||"76,2 cm (30"")"||0,251 x 0,251 mm||16:10|No|50/60 Hz|24 - 80 kHz|55 - 75 Hz|||Si|Si||Si||0 - 17°|Si||||||||||||69,25 cm|||||||350 cd/m²|||||||||Si|||2|9||Si|7,4 kg|||||||||||||6W|47,7 cm|||||1|1|1||||1||||1000:1|5000000:1|10,7 cm||||2560 x 1600 Pixels|||2560 x 1600 (WQXGA)||||No||||||||Si||AH-IPS||||5 ms||||||||||||LED|||||||100 - 240V|
AOC LED 23.6 i2476Vwm5ms VGA HDMI Speaker MONITOR LED||||42,78 cm|||||No|||||178°|178°||Kensington|||||||CE, cTUVus, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-Bauart|Si||||Nero, Argento||16,77M||||100 x 100 mm|No|||||Argento||||26W||0,5W|0,5W||||||||||52,128 cm|29,322 cm|||||"['59,9 cm', '59,94 cm (23.6"")']"||0,2715 x 0,2715 mm||16:9|No|50/60 Hz|30 - 83 kHz|50 - 76 Hz||||||Si||-4 - 21.5°|Si||Si|||||||50 - 76 Hz|||55,81 cm||||No|||250 cd/m²|||||||Si||Si||||||Si|38400g|5,33 kg||||||No|||||||18,34 cm|||||||1||||1|30 - 83 kHz|||1000:1|50000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||IPS||||5 ms||No||||||||||LED|Full HD||||||110 - 240V|
LG LED 22 22MB65PM-W 16:10 5ms VGA DVI Speaker MONITOR LED|||||37,9 cm||||Si|||||170°|160°||||||AC, Audio (3.5mm), DVI, VGA||||Si|Non specificato|||Bianco|Bianco|16,77M||||||||||||||21W||0,3W|0,4W||||||||||47,386 cm|29,616 cm|||||"['55,88 cm', '55,88 cm (22"")']"||0,282 x 0,282 mm||16:10|No|47-63 Hz|30 - 83 kHz|56 - 75 Hz|||||Si|Si|||||||Si|||||||||50,6 cm||||||250 cd/m²|||Si||||||Si|||2|14||Si|||4,7 kg|||||Si||||||2W||23,9 cm|||||1|||||1||||1000:1|5000000:1|Si||||1680 x 1050 Pixels||||Si|||No||||||||||TN||||5 ms||No||||||||||LED|Full HD||||||90 - 264V|
Asus LED 21.5 VS229HV IPS MONITOR LED||||385.5 mm||443 mm|1||N|||||178 °|178 °||Kensington||||AC, DVI, VGA|||BSMI, CB, CCC, CEL, C-Tick, ErP, FCC, Gost-R, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N||||||3.5 mm|||21.5 W|0.5 W|0.5 W|||||||||||||||||"['546.1 mm (21.5 "")', '54.61 cm']"||0.248 x 0.248 mm||16:9|N||30 - 83 kHz|50 - 75 Hz||||Si||Si||-5 - 20 °|Si||||||||||||514.1 mm||566 mm|||||250 cd/m²||||||||1080p|Si|||||||3.5 kg|5.6 kg||||||Si|||||||200 mm||130 mm||||1|1||||1|||||80000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||IPS||||5 ms||N||||||||||LED|Full HD|||||||
Asus LED 27 VS278H 1ms VGA HDMI Speaker MONITOR LED||||39,323 cm|47,011 cm|54,1 cm|1||Si|||||170°|160°||Kensington|||||||Energy Star®, BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)|Si||||Nero||16,77M||||100 x 100 mm||||||||||45W|0,5W||||||||||||||||||"68,58 cm (27"")"||||4:3, 16:9|No|50/60 Hz|30 - 83 kHz|50 - 76 Hz||||||Si||20 - -5°|Si||||Si||||||||64,886 cm|64,886 cm|72,5 cm|||||300 cd/m²|||||||||Si|||2|||||7,2 kg||||||No||||||4W|5 cm|22,5 cm|17,5 cm|||||3||||1|||||80000000:1|||||1920 x 1080 Pixels|||||||No||||||||||||||1 ms||No||||||||||LED|Full HD||||||100 - 240V|
ASUS MONITOR LED 24 ASUS VE248H||||409.7 mm||480 mm|1||Si|||||170 °|160 °||Kensington|||||||CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, WEEE, Windows Vista & Windows 7 WHQL, RoHS|Si||||Nero||16.77 M||||100 x 100 mm|N||||||3.5 mm|||35 W|1 W|||||||||||610 mm|||638 x 175 x 480 mm||||"609.6 mm (24 "")"||0.277 x 0.277 mm||16:9|N||30 - 83 kHz|50 - 76 Hz||||||Si||-5 - 20 °||||||||||50 - 76 Hz|||569.4 mm||638 mm|||||250 cd/m²||||||Si|||Si|||||||4.4 kg|7.1 kg||||||||||||2 W|201 mm||175 mm||||1|1||||1|30 - 83 kHz|||1000:1|10000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||2 ms||N|||||||||||Full HD|||||||
Asus LED 23.6 VS247HR MONITOR LED|||||410.6 mm|469 mm|1|||||||170 °|160 °||Kensington|||||||Energy Star®, BSMI, CB, CCC, CE, C-Tick, CU, EK,, ErP, FCC, J-MOSS, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 7, Windows Vista)|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm||||||||||22.7 W|||0.5 W||||||||||||||||"599.4 mm (23.6 "")"||||16:9||50/60 Hz||||||||Si||||||||||||||||561.8 mm|618 mm|||||250 cd/m²|||||||||Si||||||||6.6 kg|4.2 kg|||||Si||||||||200 mm|130 mm||||1|1||||1|||||50000000:1|||||1920 x 1080 Pixels||||||||||.|||||||||||2 ms||||||||||||LED|Full HD||||||100 - 240 V|
AOC LED 23.8 i2470Pwqu IPS MONITOR LED||||509.9 mm|||||Si|||||178 °|178 °||Kensington||||||||Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||Oro||||55 W|||0.5 W||||||||||||||||"604.5 mm (23.8 "")"||0.2745 x 0.2745 mm||16:9|N|50/60 Hz|||||Si|||Si||-5 - 25 °|Si||||||||||||557.3 mm|||||||250 cd/m²|||||||||Si||||16||Si|6 kg||||||Si|Si|||||||244.6 mm|||||||||||||||1000:1|20000000:1|130 mm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||N|||.|||||||||||5 ms||N||||||||||LED|Full HD||||||100 - 240 V|
IIyama LED 19 PL B1980SD 5ms.DVI MONITOR LED||||556.5 mm|||||Si||-160 - 160 °|||170 °|160 °|||N|||AC, Audio (3.5mm), DVI, VGA|||CE, TÜV-GS, VCCI-B, TCO, CU|Si|Non specificato|N||Nero||16.77 M||||100 x 100 mm|N|||||||N||16 W|||1 W||||||||||376.32 mm|301.05 mm|||||"482.6 mm (19 "")"||0.294 x 0.294 mm||5:4||50/60 Hz|||||Si|Si||Si|N|-5 - 22 °|Si|||||||||56 - 75 Hz|||411 mm||||N|CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS||250 cd/m²|||Si||||||Si|||2|9||Si|5.1 kg||||0 - 90 °||||||Orizzontale|||2 W|189 mm||||||1|||||1|24 - 80 kHz|||1000:1|5000000:1|130 mm||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|Si||||||.|||N||Si||TN+Film||||5 ms||N||||||||||LED|N||||||100 - 240 V|
Asus LED 21.5 VE228TLB 5ms.VGA.DVI MONITOR LED|||||364.07 mm|308.51 mm|1||Si|||||170 °|160 °||Kensington|||||||Energy Star®, BSMI, CB, CE, CEL level 2, C-Tick, FCC, Gost-R, ISO-9241-307, TCO5.2, UL/cUL, VCCI, Hygenic|Si||||Nero||||||100 x 100 mm||||||||||35 W|||0.5 W||||||||||||||||"546.1 mm (21.5 "")"||||16:9|N|||||||||Si||||||||||||||||512.84 mm|512.84 mm|||||250 cd/m²|||||||||Si|||2|||||7 kg|4.8 kg|||||||||||2 W||213.93 mm|54.90 mm||||1|||2||1|||||80000000:1|Si||||1920 x 1080 Pixels|||||||N|||.|||||||||||5 ms||||||||||||LED|Full HD|||||||
ACER LED 17 V176Lbmd MONITOR LED|Si|||308.7 mm|394.50 mm||||Si|||||170 °|160 °||||||AC, VGA||||Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||Oro||||11 W||0.35 W|0.45 W||||||Si||||||||||"['431.8 mm (17 "")', '43 cm']"||||5:4|N|||||||||N|||Si|Si|||||||||||369 mm|369 mm||||||250 cd/m²|||Si||||||Si||||||Si|2.2 kg||2.6 kg|||||Si|||||||55 mm|191 mm|||||1|||||1|||||100000000:1|||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)||||N|||.|||||||||||5 ms||||||||||||LED|HD-ready||||||110 - 220 V|
ASUS LED 19 VB198TL 5ms.VGA.DVI MONITOR LED|||||413 mm|210 mm|||Si|||||170 °|160 °||Kensington||||DVI, VGA|||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL|Si||||Nero||16.77 M||||100 x 100 mm||||||||||27 W|0.3 W|0.2 W|||||||||||||||||"['48.3 cm', '482.6 mm (19 "")']"||0.294 x 0.294 mm||5:4|N||53 - 80 kHz|50 - 76 Hz|||Si|Si||Si||-5 - 15 °|Si||||Si|||||50 - 76 Hz||||466 mm|565 mm||N|||250 cd/m²|||||||||Si|||2|||||6.4 kg|4.7 kg|||||||||||2 W||214 mm|410 mm||||1|||||1|53 - 80 kHz||||50000000:1|Si||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|Si||||||.|||||||||||5 ms||N||||||||||LED||||||||
LG 24 24MB35PY-B IPS||Si||34,3 cm|43,2 cm||||Si|||||178°|178°||No||||AC, DVI, USB, VGA|||||Non specificato|||Nero||16,77M||||100 x 100 mm|No|||||Oro||||24W|19W|0,3W|0,3W||||||||||||||||"60,45 cm (23.8"")"|Matt|0,275 x 0,275 mm||16:9|No|50/60 Hz||||||||Si||-5 - 20°|Si|Si|||Si||||Si||||56,9 cm|56,9 cm||Si||||250 cd/m²|||||||||Si|||2|||Si|4,72 kg||5,08 kg||0 - 90°||Si|No||||||2W|6,35 cm|27,17 cm||||1|1|1||2||1||||1000:1|5000000:1|12 cm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||No||||||||||IPS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC 27 i2757Fm IPS MONITOR LED||||44,9 cm|||||Si|||||178°|178°||No||||AC, HDMI, VGA|||TÜV, ISO 9241-307, cCSAus, CE, FCC|Si||||||16,77M||||No|No||||||||||||||||||||||59,789 cm|33,631 cm|||||"['68,58 cm (27"")', '68,6 cm']"||0,311 x 0,311 mm||16:9|No|50/60 Hz||||||||No|||||||||||||||62,2 cm|||||||250 cd/m²|||||||||No|||||||||||||||||||||13 cm|||||||1||1||1||||1000:1|20000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||IPS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC 21.5 I2269VW MONITOR LED|Si|||298 mm||452 mm|||N|||||178 °|178 °||Kensington||||AC, VGA||||Si||||Nero, Argento||16.77 M||||75 x 75 mm|N|||||||||23 W|||0.5 W||||||||||||||||"546.1 mm (21.5 "")"||0.248 x 0.248 mm||16:9|N|50/60 Hz||||||||Si||-5 - 15 °|Si|||||||||50 - 76 Hz|||498.3 mm||574 mm|||||250 cd/m²|||Si||||||Si|||||||4.65 kg|||||||Si|||||||73.7 mm||142 mm||||1|||||1|30 - 83 kHz|||1000:1|50000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||IPS||||6 ms||N||||||||||LED|Full HD||||||90 - 240 V|
Acer 24 V246HLbmd||||422.2 mm|||||Si|||||170 °|160 °||||||AC, VGA|||TCO|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||Oro||||20.9 W||3.5 W|4.5 W||||||||||||||||"['609.6 mm (24 "")', '61 cm']"||||16:9|N|||||||||Si||||Si|||||||||||567 mm|||Si||||250 cd/m²|||||||||Si|||2||||3.5 kg||3.9 kg|||||Si||||||4 W|206.8 mm|||||||||||1|||||100000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||5 ms||N||||||||||LED|Full HD||||||110 - 220 V|
ASUS LED 24 PA248QJ IPS CAD MONITOR LED||||362.8 mm|416.3 mm||1||N|||||178 °|178 °||Kensington|||||||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, Mac, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WHQL|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm||||||||||45 W|1 W||||||||||||||||||"['61.13 cm', '612.1 mm (24.1 "")']"||0.270 x 0.270 mm||16:10|N|50/60 Hz|30 - 83 kHz|50 - 76 Hz|||Si|||Si||-5 - 20 °|Si|||||||||50 - 76 Hz|||557.2 mm|557.2 mm||||||300 cd/m²|||||||||Si||||||Si|||6.4 kg|Si|||||||||||62 mm|235 mm||||1|1|1||5||1|30 - 83 kHz||||80000000:1|Si||||1920 x 1200 Pixels|||1920 x 1200 (WUXGA)|Si|||N|||.|||||||IPS||||6 ms||N|||||||||||Full HD||||||100 - 240 V|
HannsG 27 HL272HPB MONITOR LED||||43,8 cm|||||Si|||||160°|160°||Kensington||||AC, Audio (3.5mm), VGA|||CE, BB, GOST, FCC RoHS (2009)|Si||||Nero||16,77M||||100 x 100 mm|No|||||||||40W||0,5W|1W||||||||||||||||"['68,58 cm (27"")', '68,6 cm']"||||16:9|No|||||||Si||Si||-5 - 15°||||Si|Si||||||||63,5 cm|||||DUT, ENG, ESP, FRE, ITA, JPN, RUS||300 cd/m²|||Si||||||Si|||2|12||Si|4,5 kg|||||||||||||4W|21,5 cm||||||1|1||||1||||1000:1|30000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||Si||||||||||||2 ms||No||||||||||LED|Full HD|||||||
AOC 21.5 i2360Sh||||39,47 cm|||1||Si|||||178°|178°||Kensington|||||||EuP, FCC, GOST, ISO 9241-307, NRTL, RoHS, TCO 6.0, TÜV-GS|Si|Non specificato|||Nero||16,77M||||100 x 100 mm||||||Oro||||25W||0,5W|0,5W||||||||||||||||"58,42 cm (23"")"||||16:9|||30 - 83 kHz|50 - 76 Hz||||||Si|||||||||||||||54,85 cm|||||||250 cd/m²|||Si||||||N||||27||Si|3,73 kg|||||||Si|||||||20,94 cm||||||1|1||||1||||1000:1|20000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N|||||||||||||IPS||||6 ms||||||||||||LED|Full HD|||Si||||
ACER LED 24 B243PWLAymdr Wide MONITOR LED||||393 mm|||||Si||-35 - 35 °|||178 °|178 °||Kensington||||||||Si||||Grigio||16.77 M||||100 x 100 mm||||||||||17.15 W||0.45 W|0.55 W||||||||||531 mm|299 mm|||||"['61 cm', '609.6 mm (24 "")']"||||16:10|N|50/60 Hz||||||||Si||-5 - 15 °|||||||||||||567 mm|||||||300 cd/m²|||||||||Si|||2||||7.6 kg||||0 - 90 °|||||||||1 W|235 mm|||||1|1|||||1|||||100000000:1|110 mm||||1920 x 1200 Pixels||||Si|||N|||.|||||||IPS||||14 ms||N||||||||||LED|N||||||100 - 240 V|
Asus LED 28 VN289Q IPS|Si|||45,07 cm||56,1 cm|1||Si|||||178°|178°||Kensington||||AC, Audio (3.5mm), DVI, MHL, VGA||||Si|Non specificato|||Nero||16,77M||||100 x 100 mm|No||||||3.5 mm|||35W||0,5W|0,5W||||||||||||||||"['71,12 cm', '71,12 cm (28"")']"||0,32 x 0,32 mm||16:9|No||30 - 80 kHz|50 - 75 Hz||||Si||Si||-5 - 22°|Si||||||||||||66,02 cm||73,2 cm|||||300 cd/m²|||||||Si||Si|||2||||5,2 kg|7,9 kg||||||Si||||||4W|21 cm||15 cm|||1|1|1||||1||||3000:1|80000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||||||5 ms||No|||||||||||Full HD|||||||
Samsung 24 S24D390HL MONITOR LED||||33,248 cm|40,92 cm|39,29 cm||||||||178°|178°|||No|||VGA||||Si|Non specificato|No||Nero, Blu||||||||||||||No||21W|||0,3W||||||||||||||||"59,94 cm (23.6"")"|Lucida|||16:9|No|50/60 Hz||||||Si|||||Si||No||||||||||54,76 cm|54,76 cm|61,5 cm||No|||250 cd/m²|||||No||No|||||||||3,293 kg|4,79 kg|206,7g||||||||||||8 cm|20,955 cm|13,18 cm|||||1||||1||||1000:1|Contrasto Mega|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||Si||||||||PLS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
Iiyama LED 22 PL XU2290HS-1|Si|||38,75 cm||45,9 cm|||Si|||||89°|89°||||||AC, Audio (3.5mm), DVI, HDMI, VGA|||TCO, CE, TUV-Bauart, VCCI-B, PS||Non specificato|||Nero||16,77M||||100 x 100 mm|No|||||||||24W||||||52W|||||||||||||"['58,4 cm', '54,61 cm (21.5"")']"||0,265 x 0,265 mm||16:9|No|50/60 Hz|30 - 80 kHz|56 - 75 Hz||||Si||Si||||||Si||||||56 - 75 Hz|-20 - 60 °C|5 - 35 °C|53,25 cm||60,5 cm|||||250 cd/m²|||||||||Si|||2||||3,22 kg|5,9 kg|4 kg|||||Si||||||2W|18 cm||12,7 cm|||||1||||1|24 - 80 kHz|10 - 80%||1000:1|5000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||||||5 ms||No||||||||||LCD|Full HD||5 - 85%||||100 - 240V|
Acer 32 ACER B326HUL MONITOR LED|Si||||||||No|||||178°|178°|||||||||||Non specificato|||Nero, Grigio||||||100 x 100 mm|No||||||||||||||||||||||||||||"['81,28 cm (32"")', '81,3 cm']"||||16:9|No|||||||||||||||||||||||||||||||350 cd/m²|||||||||Si||||||||||||||Si||||||||||||1||2||||||||3000:1|100000000:1|Si||||2560 x 1440 Pixels|||2560 x 1440||||No||||||||||A-MVA||||6 ms||No||||||||||LCD|Wide Quad HD|||||||
Samsung 27 S27D390H MONITOR LED||||37,63 cm|45,3 cm|43,7 cm|1|||||||178°|178°|||No|||VGA|||Windows8.1|||No||Nero, Blu||16,77M|||||No||Si|||||No||22W|||0,3W||||||||||||||||"68,58 cm (27"")"|Lucida||||No|50/60 Hz||||||Si|||||Si||||||||||||62,52 cm|62,52 cm|69,4 cm||No|||300 cd/m²|||||No||No|||||||||4,3 kg|6 kg|4,7 kg|||||No|||||||7,96 cm|20,98 cm|13,2 cm|||||1||||1||||1000:1|Contrasto Mega|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||Si||||||||PLS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
HannsG Bundle (HT231HPB + HomeBox) Quad 1.6GHz. Android WiFi.HDMI M...|||Esterno|||||Integrato||50||170|160||||||['Foro per blocco di sicurezza (blocco per cavo venduto separatamente)', 'Multitouch 10 punti']||1 x cavo VGA - 1.5 m ¦ 1 x Cavo audio - 1.8 m ¦ 1 x cavo USB||Sì|||||['Black texture, argento lucido', 'Black texture, argento lucido']|||||Volume, luminosità, selezione ingresso, temperatura colore|||||||||||HDMI, DVI-D, VGA||||||0.5 Watt|||||"HANNS.G HT231HPB - HT Series - monitor a LED - 23"""||||||||['57.55 cm x 4.37 cm x 40.77 cm', '57.55 cm x 4.37 cm x 40.77 cm']|||||||||||||||||||||||USB ( tipo B ) ¦ VGA ¦ HDMI ¦ DVI-D ¦ Ingresso audio ¦ Cuffie||100 x 100 mm|||||||||||['250 cd/m2', '250 cd/m2']|||"23"""||||||||||||||['4.68 kg', '4.68 kg']|||||['0.265 mm', '0.265 mm']||||||26 Watt|1.5 Watt||||||||||||||||['Widescreen - 16:9', 'Widescreen - 16:9']|['1000:1 / 80000000:1 (dinamico)', '1000:1 / 80000000:1 (dinamico)']|||['Inclinazione', 'Inclinazione']|||||['1920 x 1080 A 60 Hz', '1920 x 1080 A 60 Hz']|||||||||Certificato ENERGY STAR|['UL, cUL, CB, CCC, FCC, China Energy Label Level 1', 'UL, cUL, CB, CCC, FCC, China Energy Label Level 1']||['16,7 milioni di colori', '16,7 milioni di colori']||||Retroilluminazione a LED|||['5 ms', '5 ms']|120/230 V c.a. ( 50 - 60 Hz )|||['Touch-screen - multi touch', 'Altoparlanti - stereo - integrato']|||"Monitor LCD con retroilluminazione a LED - 23"" - multi touch"|||Monitor LCD con retroilluminazione a LED|||||||31 - 80 KHz|56 - 75 Hz||
Samsung 24 S24D391HL MONITOR LED||Si||33,25 cm|40,92 cm|39,3 cm|||No|||||178°|178°||||||||||Si|A|||Bianco||16,77M|||||No||Si|||||||21W||||31 kWh|||||Si||||||||||"['59,94 cm', '60,96 cm (24"")']"||0,272 x 0,272 mm|||No||30 - 81 kHz|56 - 75 Hz||||||Si|||Si||||||||||||54,78 cm|54,78 cm|61,5 cm|||||250 cd/m²|||||||||||||||Si||5 kg|3,7 kg||||Si|No|||||||8,01 cm|20,98 cm|13,2 cm|||||1||||1|||||Contrasto Mega|No||||1920 x 1080 Pixels|||||||No||Si||||||||PLS||||5 ms||||||||||||LED||||No||||
