3d technology|3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product code|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
||27MB65PY-B, 2975567, LG Electronics, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|LG|250 cd/m²|||Black Hairline|16.7 Million Colours|||5,000,000:1||63.5 mm|259.08 mm||Yes|Yes|||['Super Energy Saving', 'Reading Mode', 'Intelligent Auto']||||||No|Yes|386.1 mm|408.94 mm|83 kHz|178°|||LG Electronics|27MB65PY-B||1920 x 1080|||1||300 mW|36 W||||Advanced High Performance In-plane Switching (AH-IPS) Technology|||||27MB65PY-B|27MB65PY-B Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"|Anti-glare|||||300 mW||||||Yes||178°|Yes|100 x 200|Yes||5.90 kg||645.2 mm|645.16 mm
||9H.LCELA.TBE, 3191652, BenQ, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|BenQ|350 cd/m²|||Glossy Black|1.07 Billion Colors|||20,000,000:1|||||Yes|Yes|||['Security Lock', 'Advanced Motion Accelerator (AMA)', 'Senseye 3', 'Reading Mode', 'Flicker-free', 'Low Blue Light', 'Eye-Care']|||ENERGY STAR 6.0|Yes|Yes|Yes|Yes||||178°|['230 V AC', '120 V AC']||BenQ Corporation|9H.LCELA.TBE|130 mm|2560 x 1440|Wall Mountable||1|2||55 W|GW2765HT Widescreen LCD Monitor Signal Cable (VGA / HDMI 1.4 / DP 1.2 (1.5m))|||In-plane Switching (IPS) Technology|PC||||GW2765HT|GW2765HT Widescreen LCD Monitor||LCD Monitor|||4 ms|WQHD|"68.6 cm (27"")"||||Yes|76 Hz|||160°|||-5°to20°|||178°|Yes|100 x 100|Yes|||||
||R20MBEU, S601JD7, Lenovo, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Lenovo|300 cd/m²|USB Hub|ISO 9241-307FCC Class BULE GoldCEBSMIGOSTNEMKONOMSABSSASOIEC 60950CCCPSBIRAMJEITAcTUVus|Black|16 Million Colours|||1,000:1||257.3 mm|||Yes|Yes|||Security Lock|||['ENERGY STAR 5.1', 'RoHS', 'TCO Certified Edge Displays 1.1', 'EPEAT Gold', 'MPR II', 'WEEE', 'TCO Certified Displays 5.2']|Yes|Yes|||394.8 mm|||178°|['110 V AC', '220 V AC']|3 Year|Lenovo Group Limited|R20MBEU||1920 x 1200|['Desk Mountable', 'Wall Mountable']||1|||40 W||||In-plane Switching (IPS) Technology|PC|||ThinkVision|LT2452p|ThinkVision LT2452p Widescreen LCD Monitor||LCD Monitor|Yes|Plastic|7 ms|WUXGA|"61 cm (24"")"|['Anti-reflective', 'Anti-glare']||||75 Hz|500 mW||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||6.67 kg||559.6 mm|
||9H.LA6LB.RPE, 2895554, BenQ, LCD Monitor, JR Linton||Yes|||16:9|LED|BenQ|250 cd/m²|||Glossy Black|16.7 Million Colours|||1,000:1||194 mm||||Yes|||['Security Lock', 'Senseye 3', 'Eco Mode', 'Reading Mode']|||['TCO Certified Displays 6.0', 'ENERGY STAR 6.0']|Yes||||434 mm|||170°|['220 V AC', '110 V AC']||BenQ Corporation|9H.LA6LB.RPE||1920 x 1080|Wall Mountable||1|||23 W||||Twisted Nematic Film (TN Film)|PC||||GL2460|GL2460 Widescreen LCD Monitor|GL60|LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||||300 mW||||||||160°|Yes|100 x 100|Yes||4.30 kg||565 mm|
||LS27D390HS/XU, Samsung, LCD Monitor, JR Linton||Yes|||16:9|LED|Samsung|300 cd/m²|||['High Glossy Black', 'Blue']|16.7 Million Colours|||1,000:1||79.6 mm|209.80 mm||No|No|||['Eco Saving', 'Magic Upscale', 'Game Mode', 'Off Timer']|||ENERGY STAR|Yes||Yes|Yes|376.3 mm|453 mm||178°|['230 V AC', '120 V AC']||Samsung|LS27D390HS/XU||1920 x 1080|||1|||22 W|||1|PLS (Plane to Line Switching) Technology|['PC', 'Mac']||||S27D390H|S27D390H Widescreen LCD Monitor|390|LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"||||No||300 mW||||||No||178°|||Yes||4.30 kg|4.70 kg|625.2 mm|625.20 mm
||LS24C20KBL/EN, Samsung, LCD Monitor, JR Linton||Yes|||16:9|LED|Samsung|250 cd/m²||UL: UL 60950-1CSA: CSA C22.2 No. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM:IEC60950-1SASO: IEC60950-1EMC:FCC: FCC Part 15, Subpart B class ACE: EN55022, EN55024VCCI: V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC: GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||77 mm|185 mm||No|Yes|||['MagicAngle', 'Eco Saving', 'MagicBright 3', 'Off Timer', 'MagicTune', 'MultiScreen']|||['ENERGY STAR', 'TCO Certified Displays', 'Eco-label', 'EPEAT Gold']|Yes||No||330.5 mm|412.35 mm||170°|['220 V AC', '110 V AC']||Samsung|LS24C20KBL/EN||1920 x 1080|Wall Mountable||1|||30 W|||||PC||||S24C200BL|"23.6"" S24C200BL Series 2 LED Business Monitor"|200|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"||||No||20 W||||||||160°|Yes|100 x 100|Yes||3.75 kg|4.10 kg|554.6 mm|554.60 mm
||UM.FK3EE.A01, 2837666, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Packard Bell|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||||||Yes|29 kWh|A||||['MPR II', 'EPEAT Gold']|Yes||Yes|||||170°|['220 V AC', '110 V AC']||Acer, Inc|UM.FK3EE.A01|No|1920 x 1080|||1||350 mW|20.09 W|Viseo243D Widescreen LCD Monitor1 x VGA CablePower Cord|||Twisted Nematic Film (TN Film)||||Viseo|Viseo243D|Viseo243D Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"61 cm (24"")"|Anti-glare||||60 Hz|450 mW||No|||-5°to25°|||160°|||Yes|||||
||B7M13AA#UUZ, HP, LCD Monitor, JR Linton||Yes|No||16:9|LED|HP|200 cd/m²|Speaker||Black|16.77 Million Colors|||600:1||47.5 mm|170.20 mm|||Yes|||Security Lock|||['EPEAT Silver', 'REACH', 'WEEE', 'ENERGY STAR']|Yes|Yes|||281.5 mm|339.50 mm||90°|['220 V AC', '110 V AC']|1 Year|Hewlett-Packard|B7M13AA#UUZ||1366 x 768|||1|||24 W|"W1972a 47 cm (18.5"") LED Backlit LCD Monitor VGA Cable Audio Cable Power Cord"|||||||Business|W1972a|"W1972a 47 cm (18.5"") LED Backlit LCD Monitor"|Value|LCD Monitor|||5 ms|HD|"47 cm (18.5"")"|Anti-glare|||Yes|76 Hz|500 mW||||||||50°|||Yes|No||2.70 kg|446.1 mm|446.10 mm
||UM.HH6EE.001, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||||||Yes|38 kWh|A|['Mobile High-Definition Link (MHL)', 'CrystalBrite']|||['EPEAT Gold', 'MPR II']|Yes|||||||178°|['110 V AC', '220 V AC']|2 Year|Acer, Inc|UM.HH6EE.001|No|1920 x 1080|||1||400 mW|29.03 W|H276HL Widescreen LCD Monitor1 x VGA CablePower Cord|||In-plane Switching (IPS) Technology|||||H276HL|H276HL Widescreen LCD Monitor|H|LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"||||Yes|60 Hz|450 mW||No|||-5°to15°|||178°|||Yes|||||
||UM.CV6EE.005, 2700289, Acer, LCD Monitor, JR Linton||Yes|No|No|16:10|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||191 mm||||Yes||||||"[""TCO '06"", 'EPEAT Gold']"|Yes|Yes|||378 mm|||170°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.CV6EE.005|No|1440 x 900|||1||350 mW|13 W|V196WL Widescreen LCD Monitor1 x VGA CablePower Cord|||Twisted Nematic Film (TN Film)|||||V196WL|V196WL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"|Anti-glare|||Yes|60 Hz|450 mW||No|||-5°to25°|||160°|Yes|100 x 100|Yes||2.70 kg|3.10 kg|440 mm|
||D7P53A4#ABB, HP, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|HP|300 cd/m²|USB Hub||Black||||1,000:1||64.5 mm|237.90 mm||Yes|Yes|||Security Lock|||['REACH', 'ENERGY STAR', 'EPEAT Gold', 'WEEE']|Yes|Yes|||365 mm|525 mm||178°|['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|D7P53A4#ABB||1920 x 1200|Wall Mountable||1|||55 W|Z Display Z24i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR) Power Cord USB Cable DisplayPort Cable Documentation CD-ROM HP Display Assistant software|||In-plane Switching (IPS) Technology||||Business|Z24i|Z Display Z24i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR)|Performance|LCD Monitor|||8 ms|WUXGA|"61 cm (24"")"|Anti-glare|||No|60 Hz|500 mW||||||Yes|USB 2.0|178°|Yes||Yes|No||6.96 kg|559.4 mm|559.40 mm
||AS23.6LED, VIGAS236LED, Vigilant Vision, Ltd, LCD Monitor, JR Linton|||||16:9|LED|Vigilant|250 cd/m²|Speaker|CE FCC|Black|16.7 Million Colours|||10,000:1||48 mm|||||||['Picture on Picture', 'Picture in Picture', 'Sleep Timer']|||['RoHS', 'WEEE', 'ENERGY STAR']|Yes||Yes||370 mm|425 mm||170°|['220 V AC', '110 V AC']||Vigilant Vision, Ltd|AS23.6LED||1920 x 1080|Desk Mountable||1|2||35 W|"23.6 "" (16:9) LED Monitor Power Supply Kettle Lead VGA Cable Remote Control Screws For Stand User Manual"||||PC||||AS23.6LED|"23.6 "" (16:9) LED Monitor"||LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"||||Yes|75 Hz|||||||||160°|Yes|100 x 100|Yes||6.05 kg||524 mm|524 mm
||241B4LPYCB/00, 2542513, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Philips|250 cd/m²|['USB Hub', 'Speaker']|BSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL|Black|16.7 Million Colours|||1,000:1||55 mm|227 mm||Yes|Yes|||['Security Lock', 'SmartImage', 'SmartErgoBase', 'PowerSensor']|||['WEEE', 'TCO Certified Displays 5.2', 'RoHS', 'TCO Certified Edge', 'EPEAT Gold', 'ENERGY STAR 5.0']|Yes|Yes||Yes|352 mm|403 mm||170°|['110 V AC', '220 V AC']||Philips Electronics|241B4LPYCB/00||1920 x 1080|||1|2||21.44 W|||||['PC', 'Mac']|65%||Brilliance|241B4LPYCB|LCD Monitor, LED Backlight with PowerSensor|B|LCD Monitor|Yes|Plastic|5 ms|Full HD|"61 cm (24"")"||||Yes|60 Hz|100 mW||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes||4.30 kg|6.30 kg|565 mm|565 mm
||B5M13AA#ABT, HP, LCD Monitor, JR Linton||Yes|No||16:9|LED|HP|200 cd/m²|Speaker|CE FCC C-Tick VCCI BSMI CB TUV-BAUART TUV-S ISO9241-307 CSA CCC CSC Korea e-standby SEPA|Black|16.77 Million Colors|||600:1||47.8 mm|170 mm|||Yes|||Security Lock|||['China Energy Label (CEL)', 'EPA', 'EPEAT', 'CECP', 'ENERGY STAR', 'REACH']|Yes|Yes|||299 mm|356.60 mm||90°|['220 V AC', '110 V AC']|1 Year|Hewlett-Packard|B5M13AA#ABT||1600 x 900|||1|||26 W|W2072a 20 inch Diagonal LCD Monitor VGA Cable Audio Cable Power Cord||||PC|||Business|W2072a|W2072a 20 inch Diagonal LCD Monitor|Value|LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|Anti-glare|||Yes|76 Hz|500 mW||||||||50°|||Yes|Yes|3.50 kg||477.3 mm|477.30 mm
||LS24C65UPC/EN, 2773807, Samsung, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Samsung|250 cd/m²|['USB Hub', 'Speaker']|"CSA (Canada) CSA C22.2 No. 60950-1 UL (USA): UL 60950 1 TUV (Germany): EN60950-1 NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI-1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 EMC:
FCC (U.S.) FCC Part 15 Subpart B class of A CE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea) KN22, KN24 C-Tick (Australia): AS/NZS3548 (CISPR22) CCC (China ): GB 9254-2008, GB 17625.1-2003"|Matte Black|16.7 Million Colours|||1,000:1||55.5 mm|224 mm||Yes|Yes|||['Mobile High-Definition Link (MHL)', 'Eco Saving', 'MagicBright 3', 'MultiScreen', 'MagicRotation', 'MagicTune', 'Off Timer']|||['Eco-label', 'EPEAT Gold', 'ENERGY STAR', 'TCO Certified Displays']|Yes||Yes||330.5 mm|487.35 mm||178°|['220 V AC', '110 V AC']|3 Year|Samsung|LS24C65UPC/EN||1920 x 1080|Wall Mountable||1|2|||"23.6"" S24C650PL Series 6 LED Business Monitor USB Cable 1.5 m Power Cable Length E-manual Installation CD Quick Setup Guide D-Sub Cable"|||AD-PLS Technology|PC||||S24C650PL|"23.6"" S24C650PL Series 6 LED Business Monitor"|650|LCD Monitor|Yes|Plastic|5 ms|Full HD|"59.9 cm (23.6"")"||||Yes||||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||3.75 kg|5.45 kg|554.6 mm|554.60 mm
||232E2SB/00, Philips, LCD Monitor, JR Linton||Yes|||16:9||Philips|300 cd/m²||BSMIGOSTCE MarkFCCClass BUL/ cUL|Glossy Black|16.7 Million Colours|||5,000,000:1||62 mm|225 mm|||Yes|||||||Yes|Yes|||360 mm|435 mm||176°|||Philips Electronics|232E2SB/00||1920 x 1080|||1||500 mW|32 W|||||['PC', 'Mac']||||232E2SB|232E2SB Widescreen LCD Monitor|E|LCD Monitor|Yes|100%|5 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|500 mW||||||||170°|Yes|100 x 100|Yes||4.19 kg|4.57 kg|566 mm|566 mm
||C9F26AA#ABM, HP, LCD Monitor, JR Linton|||||16:9|LED|HP|250 cd/m²|||Black||||3,000,000:1||47.5 mm|151.10 mm|||Yes|||||Click to view|['TCO Certified Edge', 'ENERGY STAR']|Yes||||294.1 mm|359.20 mm||||3 Year|Hewlett-Packard|C9F26AA#ABM||1600 x 900|||1|||22 W|ProDisplay P201 20-inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted Documentation and CD|||||||ProDisplay|P201|ProDisplay P201 20-inch LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|||||||||||||||||Yes||3.50 kg||482 mm|482 mm
||861-BBDH, 0912937, Dell, LCD Monitor, JR Linton|||||16:9|LED|Dell|250 cd/m²|['Speaker', 'Microphone', 'USB Hub']||Black|16.77 Million Colors|||8,000,000:1||44.7 mm|180.09 mm||Yes||||||Click to view|['ENERGY STAR 6.0', 'EPEAT Gold', 'TCO Certified Displays', 'RoHS']|Yes||Yes||342.4 mm|407.42 mm|||||Dell, Inc|861-BBDH||1920 x 1080|||1|||60 W|UltraSharp 22 Multimedia Monitor - UZ2215H Stand|||||25%||UltraSharp|UZ2215H|UltraSharp 22 Multimedia Monitor - UZ2215H||LCD Monitor|||8 ms|Full HD|"54.6 cm (21.5"")"||||Yes||||||||Yes|||Yes||Yes|Yes|3.12 kg|4.88 kg|530.6 mm|530.61 mm
||9H.L9NLB.RBE, 2883843, BenQ, LCD Monitor, JR Linton||Yes|||16:9|LED|BenQ|300 cd/m²|Speaker||Glossy Black|16.7 Million Colours|||3,000:1||1910 mm|||No|Yes|||['Senseye 3', 'Eco Mode', 'Reading Mode', 'Security Lock']|||['TCO Certified Displays 6.0', 'ENERGY STAR 6.0']|Yes|Yes|Yes|Yes|4720 mm|||178°|['110 V AC', '220 V AC']||BenQ Corporation|9H.L9NLB.RBE||1920 x 1080|Wall Mountable||1|2||27 W||||Vertical Alignment (VA)|PC||||GW2760HS|GW2760HS Widescreen LCD Monitor|GW|LCD Monitor|||4 ms|Full HD|"68.6 cm (27"")"|Matte|||Yes||300 mW|No|||||No||178°|Yes|100 x 100|Yes||4.50 kg||6230 mm|
||LS22C300HS/EN, SAMS22C300HS, Samsung, LCD Monitor, JR Linton||Yes|||16:9|LED|Samsung|250 cd/m²|||['Red', 'Black']|16.7 Million Colours|||1,000:1||53 mm|195 mm||No|No|||['Off Timer', 'Magic Upscale', 'MultiScreen', 'Eco Saving', 'MagicTune', 'MagicAngle', 'MagicBright3', 'MagicBright12', 'Sleep Timer']|||ENERGY STAR 6.0|Yes||Yes||319 mm|398 mm||170°|['220 V AC', '110 V AC']||Samsung|LS22C300HS/EN||1920 x 1080|||1|||21 W|||||['PC', 'Mac']||||S22C300H|S22C300H Widescreen LCD Monitor|300|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||No||300 mW||||||No||160°|||Yes||2.60 kg|2.90 kg|510 mm|510 mm
||DS26SDI, VIGDS26SDI, Vigilant Vision, Ltd, LCD Monitor, JR Linton|||||16:9|LED|Vigilant|400 cd/m²|Speaker|CE FCC|Black|16.7 Million Colours|||800:1|||||||||['Picture on Picture', 'Picture in Picture', 'Sleep Timer']|||RoHS|Yes||Yes|||||160°|['220 V AC', '110 V AC']||Vigilant Vision, Ltd|DS26SDI||1920 x 1080|Desk Mountable||1|2||75 W|"26"" (16:9) LED Monitor Metal Cased Power Supply Kettle Lead VGA Cable Audio Cable User Manual Remote Control"||||PC||||DS26SDI|"26"" (16:9) LED Monitor Metal Cased"||LCD Monitor|||3.50 ms|Full HD|"66 cm (26"")"||Yes|HDSDI|Yes|75 Hz|||||||||150°|Yes|200 x 200|Yes||9.60 kg|||
||UM.VS5EE.B01, 8653Q46, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100000000:1|||142.24 mm||||31 kWh|A||||['MPR II', 'ENERGY STAR']|Yes||Yes|||403.86 mm||170°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.VS5EE.B01|No|1920 x 1080|||1||530 mW|26 W|S235HL Widescreen LCD MonitorPower CordVGA CableFoot Stand|||In-plane Switching (IPS) Technology|||||S235HL|S235HL Widescreen LCD Monitor|S|LCD Monitor|||6 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|600 mW||No|||-5°to15°|||160°|No||Yes|||4.60 kg||548.64 mm
||K9301900A, 2176452, Barco, LCD Monitor, JR Linton|||||4:3||Barco||USB Hub|||16.7 Million Colours|||800:1||69.9 mm||||Yes|||||||||||353.1 mm|||178°|['220 V AC', '110 V AC']||Barco|K9301900A||1600 x 1200|||1||||||||||||MDRC-2120|MDRC-2120 Clinical Review Medical LCD Monitor||LCD Monitor|||8 ms|UXGA|"51.1 cm (20.1"")"||||||||||||Yes||178°|||Yes||6 kg|9 kg|454.7 mm|
||I2276VWM, 3091675, AOC, LCD Monitor, JR Linton||Yes|||16:9|LED|AOC|250 cd/m²||CE cTUVus GOST ISO 9241-307 TÜV-Bauart Ukrain Safety|Black|16.7 Million Colours|||50,000,000:1||130.5 mm|||||||['Eco Mode', 'Screen+', 'Mobile High-Definition Link (MHL)', 'e-Saver', 'i-Menu', 'Security Lock']|||['ENERGY STAR 6.0', 'EPEAT Silver', 'RoHS', 'EuP', 'TCO Certified Displays 6.0']|Yes|Yes|Yes|Yes|401.6 mm|||178°|['110 V AC', '220 V AC']|3 Year|AOC|I2276VWM||1920 x 1080|Wall Mountable||1||500 mW|25 W|"i2276Vwm 54.6 cm (21.5"") IPS Monitor Power Cable D-Sub Cable HDMI Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM"|||In-plane Switching (IPS) Technology||||Value|i2276Vwm|"i2276Vwm 54.6 cm (21.5"") IPS Monitor"||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|||||60 Hz|500 mW|||||-4°to22°|||178°|Yes|100 x 100|Yes||3.16 kg||512.8 mm|
||D7P53A4#ABU, HPXMON481, HP, LCD Monitor, JR Linton||Yes|||16:10|LED|HP|300 cd/m²|USB Hub||Black||||1,000:1||64.5 mm|||Yes|Yes|||['Cable Management', 'Security Lock']|||['ENERGY STAR', 'EPEAT Gold']|Yes|Yes|||365 mm|||178°|['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|D7P53A4#ABU||1920 x 1200|||1|||55 W|"Z Display 61 cm (24"") IPS LED Backlit Monitor Z24i AC Power Cord USB Cable DisplayPort Cable DVI-D Cable Documentation CD HP Display Assistant software"|||In-plane Switching (IPS) Technology|PC|||Business|Z24i|"Z Display 61 cm (24"") IPS LED Backlit Monitor Z24i"||LCD Monitor|||8 ms|WUXGA|"61 cm (24"")"|Anti-glare||||60 Hz|500 mW||||||Yes|USB 2.0|178°|Yes||Yes||6.96 kg||559.4 mm|
|No|9H.L9JLB.RBE, BENMON679, BenQ, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|BenQ|250 cd/m²|['USB Hub', 'Speaker']||Black|16.77 Million Colors|||3,000:1||259 mm|259 mm|Landscape/Portrait|Yes|Yes|||['Eye-Care', 'Ultra Flexible', 'Reading Mode', 'EcoSmart Sensor', 'Eco Mode', 'BlackDiamond', 'Security Lock', 'Senseye 3', 'M-book Mode']|||['EPEAT Silver', 'TCO Certified Displays 6.0', 'ENERGY STAR']|Yes|Yes||Yes|354 mm|504 mm||178°|['220 V AC', '110 V AC']||BenQ Corporation|9H.L9JLB.RBE|150 mm|1920 x 1080|Wall Mountable||1|2||23 W||||Vertical Alignment (VA)|PC||||BL2410PT|BL2410PT Widescreen LCD Monitor|BL|LCD Monitor|Yes|Plastic|4 ms|Full HD|"61 cm (24"")"|Matte|||Yes||200 mW||45°|||-5°to20°|Yes|USB 2.0|178°|Yes|100 x 100|Yes|No|6.70 kg||565 mm|565 mm
||60003330, NECTFTSV241, NEC Display Solutions, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10||NEC Display|360 cd/m²|USB Hub|CETUV ErgonomicsTUV GSC-tickGEEA/Energy LabelFCC Class BPCT/GostUL/C-ULCSACCCISO 9241-307 (pixel failure class I)PCBC/B-markPSB|Black|1.07 Billion Colors|||1,000:1||227.6 mm||Landscape|Yes|Yes|||['TileMatrix Support', 'Picture in Picture', 'CableComp+', 'Security Lock', 'TileComp', 'Carbon Footprint Meter', 'Ambient Light Sensor']|||['TCO Displays 5.0', 'ErP', 'MPR III', 'RoHS', 'MPR II']|Yes||||528 mm|||178°|['220 V AC', '110 V AC']|3 Year|NEC Display Solutions|60003330||1920 x 1200|||1|||95 W|SpectraView Reference 241Power CableSignal Cable DisplayPortCD-ROMSales Office ListUser ManualCD-ROM With SpectraView Profiler Software And ManualDetachable Black Light Protection HoodSpectraView Certifier DocumentSignal Cable: DVI-D - DVI-D|||In-plane Switching (IPS) Technology|PC|||SpectraView|Reference 241|SpectraView Reference 241||LCD Monitor|||8 ms|WUXGA|"61 cm (24"")"|||||60 Hz|1 W||||||Yes||178°|Yes|200 x 100|Yes||10.60 kg||556.8 mm|
||LMD-1510W, 3077031, Sony, LCD Monitor, JR Linton|||||16:9|CCFL|Sony||Speaker|||16.7 Million Colours||Yes|10,000,000:1||90 mm||||Yes||||||||Yes|Yes|Yes|280.6 mm|||170°|||Sony Corporation|LMD-1510W||1366 x 768|['Wall Mountable', 'Ceiling Mountable']||1|||40 W|||||||||LMD-1510W|15.6-inch Entry-level LCD Monitor||LCD Monitor||||WXGA|"39.6 cm (15.6"")"||Yes|HDSDI|Yes||||||||||160°|Yes|100 x 100|||5.80 kg||378 mm|
||UM.VQ6EE.005, 2837663, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Packard Bell|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||37 mm|173 mm|||Yes|34 kWh|A|CrystalBrite|||['MPR II', 'EPEAT Gold']|Yes||Yes||316 mm|404 mm||178°|['220 V AC', '110 V AC']||Acer, Inc|UM.VQ6EE.005|No|1920 x 1080|||1||400 mW|26 W|Maestro236D Widescreen LCD Monitor1 x VGA CablePower Cord|||In-plane Switching (IPS) Technology||||Maestro|Maestro236D|Maestro236D Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||Yes|60 Hz|450 mW||No|||-5°to15°|||178°|||Yes||2.90 kg|3.60 kg|531 mm|531 mm
||60003419, 3968040, NEC Display Solutions, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|NEC Display|350 cd/m²|USB Hub|CETUV ErgonomicsTUV GSC-tickFCC Class BPCT/GostUL/C-ULCSACCCISO 9241-307 (pixel failure class I)PCBC/B-markPSB|Black|16.77 Million Colors|||1,000:1||85 mm|227.60 mm|Landscape|Yes|Yes|||['Picture by Picture', 'AmbiBright', 'Picture in Picture', 'OmniColor', 'Security Lock', 'Cable Management', 'Eco Mode', 'Carbon Footprint Meter', 'ColorComp', 'Ambient Light Sensor', 'CableComp', 'Tiled Matrix', 'Intelligent Power Manager (IPM) System']|||['WEEE', 'RoHS', 'MPR III', 'MPR II', 'TCO Certified Displays 6.0', 'ErP']|Yes||Yes||362.4 mm|528 mm||178°|['110 V AC', '220 V AC']|3 Year|NEC Display Solutions|60003419||1920 x 1200|||1|||30 W|MultiSync P242W Widescreen LCD Monitor Power Cable DisplayPort Cable CD-ROM Sales Office List User Manual VGA to VGA Cable DVI-D to DVI-D Cable|||In-plane Switching (IPS) Technology||||MultiSync|P242W|MultiSync P242W Widescreen LCD Monitor||LCD Monitor|||8 ms|WUXGA|"61.2 cm (24.1"")"|||||60 Hz|1 W||||||Yes||178°|Yes|200 x 100|Yes||7.40 kg|10.10 kg|556.8 mm|556.80 mm
