<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altitudine di funzionamento|altitudine di nonfunzionamento|altoparlante  cuffia  spinotto di uscita|altoparlanti incorporati|altre caratteristiche|altre caratteristiche quantità 1 source datasheet|altre caratteristiche source datasheet|angolo di rotazione|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|angolo visuale|area di visualizzazione effettiva|blocco cavo|bluetooth|cable lock slot type|capacità totale hard disk|cavi inclusi|cavo alimentazione incluso|certificati di sicurezza|certificati di sicurezza certificazione energy star si|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del piede|colore del prodotto|colori del display|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|condizioni ambientali|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connessioni audio|consumi|consumi modalità attivo|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico max|consumo energia modalità economica|contenuto dellimballo cavi inclusi ac vga|controllo del volume|convenienza|dcin jack|design colore del prodotto nero|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni altoparlante centrale l x a x p|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni schermo|dimensioni schermo cm|display surface|dot pitch|dot rate video|famiglia processore|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|ingresso segnale|intel antitheft technology|intel hyperthreading technology|intel identity protection technology|intel my wifi technology|intel rapid start technology|intel small business advantage sba|intel smart connect technology|intel smart response technology|intel turbo boost technology|intel visual technologies|intel vpro technology|intel wireless display technology|interfaccia comune|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità schermo|lunghezza cavo|manuale dellutente|materiale riciclabile|materiali della confezione riciclabili|megapixel|megapixel totali|mhl specification|microfono incorporato|microfono spinotto dingresso|miglioramento dellimmagine|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mouse incluso|mtbf|networking connessione wlan n collegamento ethernet lan n|numero di altoparlanti|numero di core del processore|numero di lingue osd|numero di prodotti inclusi|on screen display osd|performance|peso|peso contenzione inclusa|peso incluso imballo|peso prodotto con supporto|peso schermo con supporto|pictureinpicture|pivot angle|plug  play|porta dvi|posizionamento supportato|potenza in uscita rms|processore|prodotto senza piedistallo kg|profondità|profondità con supporto|profondità imballo|quantità|quantità displayports|quantità porte dvid|quantità porte ethernet lan rj45|quantità porte hdmi|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|ram installata|range di scansione orizzontale|range di umidità di funzionamento|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regulatory approvals|retroilluminazione a led|risoluzione|risoluzione consigliata|risoluzione massima|risoluzioni grafiche supportate|rotazione|schermo srgb|segnale ingresso sincronizz video|sicurezza|sintonizzatore tv integrato|sistema operativo incluso|sistema operativo linux supportato|sistema operativo windows supportato|smartcontrast|smartresponse|source datasheet|specificazioni ambientali|subwoofer incorporato|supporto di memoria|supporto lingue|sync hv separato|syncongreen sog|tecnologia display|tecnologia touch|tempo di risposta|thin client|thin client installato|thin client thin client installato n|thin client thin client installato no|tipi schede di memoria|tipo di prodotto|tipo di ram|tipologia di retroilluminazione|tipologia display|tipologia hd|touch screen|umidità|umidità relativa|uscita audio|velocità processore|voltaggio di ingresso|webcam girevole|wifi
Philips Philips 224E5QDAB 00 224E5QDAB 00 Planet Computer.it||||30,6 cm|39,4 cm|46,6 cm|0 - 3658m|0 - 12192m|1|Si|||||178°|178°|||Kensington||||AC|||||Si|Non specificato||||Nero|16,77M||100 x 100 mm|N||Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion, Mac OS X 10.8 Mountain Lion, Mac OS X 10.9 Mavericks|||Argento||||17,46W|||0,5W|0,5W|||||||||||||||54,6 cm||Lucida|0,248 x 0,248 mm|||16:9|N|50/60 Hz||||||||Si||-5 - 20°|Si||Operation, Stand-by|Si|Si||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|50 cm|50 cm|56,2 cm|||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|250 cd/m²|||||||||||Si|1080p|Si||30000h||2||22||Si||2,82 kg||5,01 kg|3,14 kg||||Si|Si||10W|||4,7 cm|21,3 cm|10,6 cm|||1||1|||1||30 - 83 kHz||1000:1|20000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8||||||||Si|Si|LCD||5 ms|Thin client installato N|N||||||W-LED|LCD|Full HD|||20 - 80%|Si||100 - 240V||
Hp Hewlett Packard HP V241a E5Z95AT ABB Planet Computer.it|||||||||||||||170°|160°|||||||||||||||||||||No||||||||||||||||||||||||||||59,94 cm||Matt|0,2715 x 0,2715 mm|||16:9||||||||||Si||||||||||||||||||||||||||||||||250 cd/m²|||||||||||||||||||||||||||||||||||||||||||||||||||1000:1||||1920 x 1080 Pixels|||720 x 400, 1440 x 900, 1600 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)||||||||||||||||||||5 ms|||||||||LED|Full HD||||||||
Benq Benq GW2765HT 9H.LCELA.TBE Planet Computer.it|Si||||48,7 cm||||Si|Si||||-160 - 160°|178°|178°|||Kensington||||DisplayPort, HDMI, VGA|||||Si|Non specificato||||Nero|1070M||100 x 100 mm|No|||||||||32W||0,5W|||||||||||||||||"68,58 cm (27"")"|||0,2331 x 0,2331 mm|||16:9|No||||||Si|||Si||-5 - 20°|Si|||Si|||||||||||||||||||||74,8 cm|||||350 cd/m²|||||||||||||Si||||2||17||Si|Sistema operativo Windows supportato Windows 8, Windows 8.1|||9 kg|6,9 kg|||||Si||2W||||22,4 cm|||1|||1|||1||||1000:1|20000000:1|['13 cm', 'Si']|||2560 x 1440 Pixels|||2560 x 1440||Si|||No|||Windows 8, Windows 8.1|||||No|||||IPS||4 ms||No|||||||LED|Full HD||||||90 - 264V||
Philips Philips 271S4LPYEB S-line 27  68.6 cm Full HD display LCD monitor|||100-240 V CA, 50/60 Hz Incorporata||||||||||||||170º / 160º|597,6 x 336,15 mm|||||||||||||||||||||||||||||21,3W|||||14 W (tip.)|||blocco Kensington Montaggio VESA (100 x 100 mm) SmartImage PowerSensor Luminosità Menu Accensione/spegnimento||||||639 x 405 x 64 mm|750 x 234 x 490 mm|||||||||||||||||||||||||||DisplayPort DVI-D (digitale, HDCP) VGA (analogico)||||||||||||||||||||||||||||100%||||||SmartImage||||||||||||||10,35 kg (22.8 lbs)|||7,50 kg (16.5 lbs)||||||||5,10 kg (11.2 lbs)||||||||||||||||||BSMI marchio CE FCC Class B GOST SASO SEMKO TCO 6 TUV Ergo TUV/GS UL/cUL WEEE|||1920 x 1080 a 60 Hz|||||Sincronizzazione separata Sync su verde||||||20.000.000:1|||EnergyStar 6.0 PowerSensor EPEAT Gold* RoHS|||Italiano Francese Tedesco Italiano Portoghese Russo Cinese semplificato Spagnolo|||||||||||||||||||||||
Philips Philips 272P4QPJKEB 272P4QPJKEB 00 Planet Computer.it|Si|Si||405 mm|58 mm|234 mm|0 - 3658 m|0 - 12192 m|1|Si||||-65 - 65 °|178 °|178 °|||Kensington||||AC||||SMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL|Si|Non specificato|N|||Nero|16.77 M||100 x 100 mm|N|||||Oro|3.5 mm|N||39.2 W||23 W||0.3 W|||||||"Condizioni ambientali
Altitudine di non-funzionamento 0 - 12192 m
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 3658 m"||||||||68.6 cm|||0.233 x 0.233 mm|||16:9|Si|50/60 Hz|||||Si|Si||Si||-5 - 20 °|Si|Si|Si|Si||||||||||||||||Si|56 - 75 Hz|-20 - 60 °C|0 - 40 °C|639 mm|639 mm|750 mm|Si|||300 cd/m²||Si|||2 MP||||||||Si|||"Gestione energetica
Frequenza di ingresso 50/60 Hz
Classe efficienza energetica Non specificato
Consumi (modalità stand-by) 0.3 W
Consumi (modalità risparmio energetico) 23 W
Voltaggio di ingresso 100 - 240 V
Consumi 39.2 W"|2||||Si||5.7 kg||11.35 kg|8.5 kg|||0 - 90 °|Si|Si||4 W|||64 mm|242 mm|490 mm||1|||2||3|||30 - 90 kHz|20 - 80 %|1000:1|20000000:1|['Si', '150 mm']|||2560 x 1440 Pixels|||2560 x 1440|Si|Si||RoHS, WEEE|N||Si|Si|||.|||||Si|Si|PLS||12 ms||N||||PC monitor||W-LED|LED|||||||100 - 240 V||
Aoc AOC E2250SD E2250SD Planet Computer.it|Si||||40,85 cm|42 cm||||No|||||170°|160°|||Kensington||||AC, DVI, VGA||||CE, Energy Star 6.0, EPEAT Silver, GOST, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety|Si|Non specificato||||Nero|16,77M||75 x 75 mm|Si|||||Argento||||18W|||0,5W|0,5W|||||||||47,664 cm|26,811 cm|||||55,9 cm|||0,282 x 0,282 mm|||16:10||50/60 Hz|30 - 83 kHz|50 - 76 Hz|||No||Si|Si||-4 - 17°|Si|Si|Si|||||||||||||||||Si||||50,87 cm|50,87 cm|56,2 cm|Si|||250 cd/m²|||||||||||||Si||||||||Si||||4,62 kg|3,76 kg||||Si|Si||||||19 cm|10,9 cm|||11|||||1||||1000:1|20000000:1|No|||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|No|||||||||||||||||TN||5 ms|Thin client installato No|No||||||W-LED|LED|||||||100 - 240V||
Aoc AOC Q2770PQU LED display Q2770PQU Planet Computer.it||||24,5 cm||28,6 cm||||Si|||||178°|178°|||Kensington||||DisplayPort, DVI, HDMI, VGA||||||||||Nero|16,77M||100 x 100 mm|N|||||||||65W||||0,5W|||||||||59,789 cm|33,631 cm|||||"68,58 cm (27"")"|||0,233 x 0,233 mm|||16:9|N|50/60 Hz||||||||Si|||||||||||||||||||||||50 - 76000 Hz|-25 - 55 °C|0 - 40 °C|64,22 cm||75,9 cm||||300 cd/m²||Si|||||||||||Si||||||16||Si||||||||||Si|||||55,8 cm||48,6 cm||1|1||1|||1||30 - 99000 kHz|10 - 85%|1000:1|80000000:1|['Si', '13 cm']|||2560 x 1440 Pixels|||2560 x 1440, 1920 x 1080 (HD 1080)|||||N|||||||||||||||5 ms|Thin client installato N|N|||||||LED|||5 - 93%||||100 - 240V||
Philips Philips C221S3UCW C221S3UCW 00 Planet Computer.it||||323 mm|402 mm|461 mm|||||||||160 °|150 °|||Kensington||||||||RoHS||Non specificato|||Bianco|Bianco|16.77 M||100 x 100 mm|||||EMC: CE Mark, IEC/EN60601-1-2 Safety: CE Mark, IEC/EN60601-1 Ergonomic/Others: JIS Z2801, WEEE|Argento||||10.3 W||||0.3 W|||||||||476.6 mm|268.1 mm|||||54.6 cm|||0.248 x 0.248 mm|||16:9||50/60 Hz|||||Si|||N|||Si||Operation|||||||||||||||||Si||-20 - 60 °C|0 - 40 °C|507 mm|507 mm|565 mm|||CHI (SIMPL), ENG, ESP, FRE, ITA, POR, RUS|150 cd/m²|||||||||||||Si||30.000 h||||||Si||3.44 kg||5.13 kg|3.85 kg||||Si||||||59 mm|201 mm|131 mm||||||1|||||20 - 80 %|1000:1||['70 mm', 'Si']|||1920 x 1080 Pixels|||||Si|||||||||.|||||||LCD/TFT||5 ms||||||||W-LED|LED|Full HD||||||100 - 120 V||
Lg Electronics LG 19MB15T 19MB15T-B.AEU Planet Computer.it||||34,5 cm|34,5 cm|41,6 cm|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||40,6 cm|40,6 cm|47,3 cm|||||||||||||||||||||||||||3,4 kg||5,1 kg|3,8 kg||||||||||6,2 cm|9,4 cm|15,9 cm||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Philips Philips 193V5LSB2 193V5LSB2 10 Planet Computer.it||||273 mm|338 mm|350 mm|0 - 3658 m|0 - 12192 m||N|||"Thin Client
Thin client installato N"||90 °|65 °|||Kensington|N|||||||BSMI, CE Mark, cETLus, FCC B, GOST, PSB, SASO, SEMKO, TUV/ISO9241-307|Si|Non specificato|N|||Nero|16.77 M||100 x 100 mm|N|||||Argento||N||8.76 W|||0.5 W|0.5 W|||||||||409.8 mm|230.4 mm|||||47 cm|||0.30 x 0.30 mm|||16:9|N|50/60 Hz||||||Si||N||-3 - 10 °|Si|Si|Si||||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|437 mm|437 mm|481 mm|Si|||200 cd/m²||Si|||||||||||Si||30000 h||||||Si||1.94 kg||3 kg|2.15 kg||||Si|N|||||48 mm|170 mm|103 mm||||||||1||30 - 83 kHz|20 - 80 %|700:1|10000000:1||||1366 x 768 Pixels|||1366 х 768||Si||RoHS, WEEE|N||Si|Si|||.|||||Si|Si|||5 ms||N||||||W-LED|LED|HD-ready||||||100 - 240 V||
Philips Philips 241P4QPYES Display AMVA Full HD P-line 61 cm  24   Monitor LCD|Si|||352 mm|518 mm|442 mm|||1|Si||||-65 - 65 °|178 °|178 °|||Kensington||||||||BSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TUV Ergo, TUV/GS, TCO 5.2, UL/cUL, WEEE|Si|||||Nero|16.77 M||100 x 100 mm|N||Si|"Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %"||Oro|3.5 mm|||23.4 W||15 W||0.1 W||||Digitale|||||531.4 mm|298.9 mm|||||61 cm|||0.276 x 0.276 mm|||16:9||50/60 Hz|30 - 83 kHz|56 - 75 Hz||Si||||Si||-5 - 20 °||Si|||Si|||||||||||||||Si||-20 - 60 °C|0 - 40 °C|565 mm|565 mm|605 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||||||||||Si||30000 h||2||8|1 pezzi|Si||4.2 kg||8.8 kg|6.35 kg|||0 - 90 °|Si||Orizzontale/Verticale|3 W|||55 mm|220 mm|252 mm||1|1|||4||1|||20 - 80 %|5000:1|20000000:1|130 mm|||1920 x 1080 Pixels||1920 x 1080 Pixels|1920 x 1080 (HD 1080)|Si|Si||RoHS||||Si|||.|||||Si|Si|MVA||6 ms||||||||W-LED|LED|Full HD||||||100 - 240 V||
Aoc AOC I2267FWH I2267FWH Planet Computer.it|||||||||||||||178°|178°||||||||||||||||||16,77M|||||||||||||||||||||||||||||||54,62 cm|||0,24795 x 0,24795 mm|||16:9||||||||||Si|||||||||||||||||||||||55 - 75 Hz|||||||||250 cd/m²||||||||||||1080p||||||||||||||||||||||||||||||||||||30 - 83 kHz|||50000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||IPS||5 ms|||||||||LED|Full HD||||||||
Aoc AOC E2460SD LED display E2460SD Planet Computer.it|Si|||40,305 cm||47,6 cm||||No|||||170°|160°|||No|No|||||||FCC, cTUVus, CE, EPA5.1, CCC, China ROHS, CEL1, CQC||Non specificato|No|||Nero|16,77M||100 x 100 mm|No|||||||||18W||||0,5W|||||||"Connettività
Ingresso audio No
Uscita audio No
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1
AC (power) in Si"||53,136 cm|29,889 cm|||||60,97 cm|||0,277 x 0,277 mm|170 MHz||16:9|No|50/60 Hz|30 - 83 kHz|55 - 76 Hz|||No|||Si||-5 - 20°|Si|||No||||||||||||||||Si||||56,54 cm||62,1 cm||No||250 cd/m²||||||||No|||||Si||||||16||Si||4,44 kg||5,68 kg|||No||Si||||||21,93 cm||13,1 cm|||1|||||1|||||20000000:1|No|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|No||||No|||||||||||||||5 ms||No|||No||||LED|Full HD||||No||110 - 240V||No
Philips Philips 273V5LHSB 273V5LHSB 00 Planet Computer.it|Si|||398 mm|471 mm|482 mm||||||"Condizioni ambientali
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %"|||170 °|160 °|||Kensington||||||||RoHS, Lead-free, Mercury Free|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|||||BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, cETLus, WEEE|Argento||||23.14 W|||0.3 W|0.5 W|||||||||597.88 mm|336.31 mm|||||68.6 cm|||0.311 x 0.311 mm|||16:9||50/60 Hz|||||||||||Si||Operation, Stand-by|||||||||||||||||Si|56 - 75 Hz|-20 - 60 °C|0 - 40 °C|646 mm|646 mm|698 mm|||CHI (SIMPL), CZE, DEU, DUT, ENG, ESP, FIN, FRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|300 cd/m²|||||||||||||Si||30.000 h||||||Si||4 kg||6.17 kg|4.53 kg||||Si||||||57 mm|240 mm|139 mm|1||||1|||1||30 - 83 kHz|20 - 80 %|1000:1|10000000:1||||1920 x 1080 Pixels|||||Si|||||||||.|||||Si|Si|LCD/TFT||5 ms||||||||W-LED|LED|Full HD||||||100 - 240 V||
Lg Electronics LG 24M45HQ-B 24M45HQ-B.AEU Planet Computer.it||Si||34,4 cm|44,5 cm|41,1 cm|||1|No|||"Thin Client
Thin client installato No"||170°|160°|||Si||||||||||Non specificato||||Nero|16,77M||100 x 100 mm|No||||||3.5 mm|||21W|||0,3W|0,3W||||||Si|||||||||"59,94 cm (23.6"")"|||0,2715 x 0,2715 mm|||16:9|No|||||||||No||3 - 20°|Si|Si||||||||||||||||||Si||||55,6 cm|55,6 cm|63,5 cm|Si|||250 cd/m²||||||||||||1080p|Si||||||||Si||2,7 kg|||3 kg||||Si|No|||||5,9 cm|18,8 cm|12,4 cm|||1||1|||1||||1000:1|5000000:1|No|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||No|||||||||||||TN||5 ms||No|||||||LED|Full HD||||||||
Philips Philips 243V5LHAB 243V5LHAB 00 Planet Computer.it|Si|||344 mm|420 mm|415 mm|||1|Si|||||170 °|160 °|||Kensington||||||||RoHS, Lead-free, Mercury Free|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|||||BSMI, CE Mark, cETLus, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, WEEE|Argento|3.5 mm|||19.18 W|||0.3 W|0.5 W|||||||"Altre caratteristiche
Quantità 1
Source data-sheet ."||521.28 mm|293.22 mm|||||60 cm|||0.272 x 0.272 mm|||16:9||50/60 Hz|||||||||||Si||Operation, Stand-by||Si|||||||||||||||Si|56 - 75 Hz|-20 - 60 °C|0 - 40 °C|551 mm|551 mm|600 mm|||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|250 cd/m²|||||||||||||Si||30.000 h||2||||Si|MTBF 30.000 h|3.22 kg||5 kg|3.66 kg||||Si|Si||4 W|||52 mm|220 mm|118 mm|1||1||1|||1||30 - 83 kHz|20 - 80 %|1000:1|10000000:1||||1920 x 1080 Pixels|||||Si|||||||||.|||||Si|Si|LCD/TFT||5 ms||||||||W-LED|LED|Full HD||||||100 - 240 V||
Philips Philips 19B4LCS5 19B4LCS5 00 Planet Computer.it||||61 mm|227 mm|159 mm|||1|Si||||65 - 65 °|170 °|160 °||376.32 x 301.06 mm|Kensington||||||||||Non specificato|||Nero|Argento, Bianco|16.77 M||100 x 100 mm||||||Oro||||14 W|14 W||0.1 W|0.1 W||||||||||||460 x 448 x 159 mm|||48.3 cm|||0.294 x 0.294 mm|||5:4||50/60 Hz|||||Si|||||5 - 20 °|Si|Si|||Si||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|404 mm|404 mm|460 mm|Si|||250 cd/m²|||25 %||||||||||Si||30.000 h||2|||||MTBF 30.000 h|2.71 kg||6.48 kg|4.61 kg|||90 - 90 °|Si|Si||1.5 W|||346 mm|506 mm|448 mm|||1|||||1||30 - 83 kHz|20 - 80 %|1000:1|20000000:1|['Si', '110 mm']|||1280 x 1024 Pixels||||Si|Si|||||||||.|||||||TFT||5 ms|||||||||LCD|||||||100 - 240 V||
Philips Philips 273V5LHAB 273V5LHAB 00 Planet Computer.it|Si|||398 mm|471 mm|482 mm|||1|Si|||||170 °|160 °|||Kensington||||||||RoHS, Lead-free, Mercury Free|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|||||BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, cETLus, WEEE|Argento||||19.65 W|||0.3 W|0.5 W|||||||"Altre caratteristiche
Quantità 1
Source data-sheet ."||597.88 mm|336.31 mm|||||68.6 cm|||0.311 x 0.311 mm|||16:9||50/60 Hz|||||||||||Si||Operation, Stand-by||Si|||||||||||||||Si|56 - 75 Hz|-20 - 60 °C|0 - 40 °C|646 mm|646 mm|698 mm|||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|300 cd/m²|||||||||||||Si||30.000 h||2||||Si|MTBF 30.000 h|4 kg||6.17 kg|4.53 kg||||Si|Si||4 W|||57 mm|240 mm|139 mm|1||1||1|||1||30 - 83 kHz|20 - 80 %|1000:1|10000000:1||||1920 x 1080 Pixels|||||Si|||||||||.|||||Si|Si|LCD/TFT||5 ms||||||||W-LED|LED|Full HD||||||100 - 240 V||
Philips Philips 278G4DHSD 278G4DHSD 00 Planet Computer.it|Si|||37,6 cm|47,1 cm|52,7 cm|0 - 3658m||||||||178°|178°|||Kensington|No|||AC||||BSMI, CE Mark, FCC B, GOST, SEMKO, TCO, TUV/ISO9241-307, UL/cUL, WEEE|Si|Non specificato|No|||Nero|16,77M|||Si|||||Argento||No||25,94W||||0,5W|||||||||59,79 cm|33,63 cm|||||68,6 cm||Lucida|0,311 x 0,311 mm|||16:9|No|50/60 Hz||||||Si|||Si|-5 - 20°|Si|Si|Si|||||||||||||||||Si|50 - 75 Hz|-20 - 60 °C|0 - 40 °C|62,3 cm|62,3 cm|68,5 cm|Si|||250 cd/m²||Si|||||||||||||30000h|||||1 pezzi|Si||5 kg||9,25 kg|5,44 kg||||Si|No|||||4,4 cm|19,7 cm|14,2 cm|||||3||4|1||30 - 83 kHz|20 - 80%|1000:1|20000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||Si||RoHS|No|||Si||||||||Si|Si|IPS||14 ms||No||||||W-LED|LED|Full HD||||Si||100 - 240V||
Samsung Samsung S24D300HL LS24D300HL EN Planet Computer.it||||3,41884 cm|4,1706 cm|4,07924 cm|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||5,6896 cm|5,6896 cm|6,35 cm|||||||||||||||||||||||||||3,193 kg||4,789 kg|3,542 kg||||||||||5,3848 mm|1,9685 cm|1,10998 cm||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Benq Benq BL3200PT 9H.LC3LB.QBE Planet Computer.it||||43,688 cm|64,016 cm|||||Si||||-45 - 45°|178°|178°||||No|||||||TCO 6.0||Non specificato|No||Argento|Nero|1070M||100 x 100 mm||||||||||97W||||0,5W|||||||||70,84 cm|39,85 cm|||||"81,28 cm (32"")"||Lucida|0,276 x 0,276 mm|||16:9|No||||||Si|||Si||-5 - 20°|Si||Si|Si||||||||||||||||Si|50 - 76 Hz|||74,028 cm|74,028 cm|||No||300 cd/m²||||||||No|||No||Si||||2||17||Si||13000g|||16000g|||0 - 90°||Si||10W|||23,248 cm|23,248 cm|||1|||1|3|2|1||30 - 83 kHz||3000:1|20000000:1|['Si', '15 cm']|||2560 x 1440 Pixels||||Si|Si||||||Si|||||No|||||||4 ms|Thin client installato No|No|||||||LCD|Full HD||||Si||||No
Philips Philips Ultra Narrow Bezel 274E5QDAB 00 Planet Computer.it||||37,5 cm|47 cm|54,6 cm|0 - 3658m|0 - 12192m|1|Si|||||178°|178°|||Kensington||||AC|||||Si|Non specificato||||Nero|16,77M||100 x 100 mm|No|||||Argento||||22,15W|||0,5W|0,5W|||||||||||||||68,6 cm||Lucida|0,311 x 0,311 mm|||16:9|No|50/60 Hz||||||||Si||-5 - 20°|Si||Operation, Stand-by|Si|Si||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|62,2 cm|62,2 cm|66,7 cm|||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|250 cd/m²|||||||||||Si|1080p|Si||30000h||2||22||Si||4,88 kg||7,14 kg|5,1 kg||||Si|Si||12W|||4,6 cm|23,7 cm|10,6 cm|||1||1|||1||30 - 83 kHz||1000:1|20000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||No|||||||||||||||5 ms|Thin client installato No|No||||||W-LED|LCD|Full HD|||20 - 80%|Si||100 - 240V||
Acer Acer K K202HQL UM.IW3EE.001 Planet Computer.it|Si|||27,62 cm|36,23 cm|||||No|||"Thin Client
Thin client installato No"||90°|65°|||||||AC, VGA||||||Non specificato||||Nero|16,77M|||No|||||||||13,5W|||0,35W|0,45W|||"Ergonomia
Regolazione altezza No
Rotazione No"||||||||||||"49,53 cm (19.5"")"|49,5 cm|||||16:9|No|||||||||||||||||||||||||||||||||||46,34 cm|46,34 cm|||||200 cd/m²|||||||||||||||||||||||2,21 kg|||2,7 kg|||||No|||||5 cm|19,1 cm|||||||||1|||||100000000:1|No|||1600 x 900 Pixels|||1600 x 900|No||||No|||||||||||||TN+Film||5 ms||No|||||||LED|||||||110 - 220V||
Benq Benq XL2411Z 9H.L9SLB.RBE Planet Computer.it|Si|Si||431 mm|||||1|||||-45 - 45 °|170 °|160 °|||Kensington||||AC, DVI, VGA||||||||||Nero|||100 x 100 mm|Si|||||||||36 W||0.5 W|0.5 W||||||||||531 mm|298 mm|||||"609.6 mm (24 "")"|||0.276 x 0.276 mm|||16:9|N||||||Si|Si||Si||-5 - 20 °|Si|||||||||||||||||||Si||||570 mm||||||350 cd/m²|||||||||||||Si||||||17||Si||6 kg||8.5 kg||||0 - 90 °|Si|Si|||||222 mm|||||1||2|||1||||1000:1|12000000:1|['130 mm', 'Si']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||N|||||||||||||LCD||1 ms|Thin client installato N|N|||||||LED|Full HD||||||95 - 265 V||
